seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1786553394,2026-08-12T16:49:54+00:00,0,0,0,,,,,2.00,no,
2,1786553454,2026-08-12T16:50:54+00:00,60,474,400,474,400,126.6,150.0,2.00,yes,
3,1786553514,2026-08-12T16:51:55+00:00,120,1445,1200,971,800,61.8,75.0,2.00,yes,
4,1786553575,2026-08-12T16:52:55+00:00,181,2398,2000,953,800,64.0,76.2,2.00,yes,
5,1786553635,2026-08-12T16:53:55+00:00,241,3386,2800,988,800,60.7,75.0,2.00,yes,
6,1786553696,2026-08-12T16:54:56+00:00,302,4355,3600,969,800,63.0,76.2,2.00,yes,
7,1786553756,2026-08-12T16:55:56+00:00,362,5413,4500,1058,900,56.7,66.7,2.00,yes,
8,1786553816,2026-08-12T16:56:57+00:00,422,6371,5300,958,800,62.6,75.0,2.00,yes,
9,1786553877,2026-08-12T16:57:57+00:00,483,7327,6100,956,800,63.8,76.2,2.00,yes,
10,1786553937,2026-08-12T16:58:57+00:00,543,8391,7000,1064,900,56.4,66.7,2.00,yes,
11,1786553998,2026-08-12T16:59:58+00:00,604,9346,7800,955,800,63.9,76.2,2.00,yes,
12,1786554058,2026-08-12T17:00:58+00:00,664,10317,8600,971,800,61.8,75.0,2.00,yes,
13,1786554119,2026-08-12T17:01:59+00:00,725,11272,9400,955,800,63.9,76.2,2.00,yes,
14,1786554179,2026-08-12T17:02:59+00:00,785,12334,10300,1062,900,56.5,66.7,2.00,yes,
15,1786554239,2026-08-12T17:04:00+00:00,845,13293,11100,959,800,62.6,75.0,2.00,yes,
16,1786554300,2026-08-12T17:05:00+00:00,906,14252,11900,959,800,63.6,76.2,2.00,yes,
17,1786554360,2026-08-12T17:06:00+00:00,966,15207,12700,955,800,62.8,75.0,2.00,yes,
18,1786554421,2026-08-12T17:07:01+00:00,1027,16167,13500,960,800,63.5,76.2,2.00,yes,
19,1786554481,2026-08-12T17:08:01+00:00,1087,17117,14300,950,800,63.2,75.0,2.00,yes,
20,1786554542,2026-08-12T17:09:02+00:00,1148,18174,15200,1057,900,57.7,67.8,2.00,yes,
21,1786554602,2026-08-12T17:10:02+00:00,1208,19141,16000,967,800,62.0,75.0,2.00,yes,
22,1786554663,2026-08-12T17:11:03+00:00,1269,20113,16800,972,800,62.8,76.2,2.00,yes,
23,1786554723,2026-08-12T17:12:03+00:00,1329,20950,17500,837,700,71.7,85.7,2.00,yes,
24,1786554784,2026-08-12T17:13:04+00:00,1390,21906,18300,956,800,63.8,76.2,2.00,yes,
25,1786554844,2026-08-12T17:14:04+00:00,1450,22965,19200,1059,900,56.7,66.7,2.00,yes,
26,1786554904,2026-08-12T17:15:05+00:00,1510,23917,20000,952,800,63.0,75.0,2.00,yes,
27,1786554965,2026-08-12T17:16:05+00:00,1571,24857,20800,940,800,64.9,76.2,2.00,yes,
28,1786555025,2026-08-12T17:17:06+00:00,1631,25815,21600,958,800,62.6,75.0,2.00,yes,
29,1786555086,2026-08-12T17:18:06+00:00,1692,26166,21900,351,300,173.8,203.3,2.00,yes,
30,1786555146,2026-08-12T17:19:06+00:00,1752,27134,22700,968,800,62.0,75.0,2.00,yes,
31,1786555207,2026-08-12T17:20:07+00:00,1813,28085,23500,951,800,64.1,76.2,2.00,yes,
32,1786555267,2026-08-12T17:21:07+00:00,1873,29046,24300,961,800,62.4,75.0,2.00,yes,
33,1786555328,2026-08-12T17:22:08+00:00,1934,29999,25100,953,800,64.0,76.2,2.00,yes,
34,1786555388,2026-08-12T17:23:08+00:00,1994,25815,21600,-4184,-3500,,,2.00,no,
35,1786555448,2026-08-12T17:24:09+00:00,2054,25815,21600,0,0,,,2.00,no,
36,1786555509,2026-08-12T17:25:09+00:00,2115,26166,21900,351,300,173.8,203.3,3.00,yes,
37,1786555569,2026-08-12T17:26:09+00:00,2175,27134,22700,968,800,62.0,75.0,3.00,yes,
38,1786555630,2026-08-12T17:27:10+00:00,2236,28085,23500,951,800,64.1,76.2,3.00,yes,
39,1786555690,2026-08-12T17:28:10+00:00,2296,29046,24300,961,800,62.4,75.0,3.00,yes,
40,1786555751,2026-08-12T17:29:11+00:00,2357,29999,25100,953,800,64.0,76.2,3.00,yes,
41,1786555811,2026-08-12T17:30:11+00:00,2417,25815,21600,-4184,-3500,,,3.00,no,
42,1786555871,2026-08-12T17:31:12+00:00,2477,25815,21600,0,0,,,3.00,no,
43,1786555932,2026-08-12T17:32:12+00:00,2538,26166,21900,351,300,173.8,203.3,4.00,yes,
44,1786555992,2026-08-12T17:33:13+00:00,2598,27008,22600,842,700,71.3,85.7,4.00,yes,
