pass,state,query,run,ms
1,O,L1_A0,1,527.511
1,O,L1_A0,2,788.029
1,O,L1_A0,3,530.123
1,O,L1_A0,4,805.412
1,O,L1_A0,5,394.211
1,O,L1_A0,6,302.831
1,O,L1_A0,7,308.330
1,O,L2_A0,1,285.358
1,O,L2_A0,2,249.040
1,O,L2_A0,3,383.647
1,O,L2_A0,4,195.093
1,O,L2_A0,5,218.461
1,O,L2_A0,6,215.257
1,O,L2_A0,7,249.924
1,O,S1_A0,1,266.964
1,O,S1_A0,2,362.126
1,O,S1_A0,3,335.023
1,O,S1_A0,4,283.393
1,O,S1_A0,5,293.763
1,O,S1_A0,6,285.589
1,O,S1_A0,7,289.609
1,O,S2_A0,1,435.176
1,O,S2_A0,2,568.022
1,O,S2_A0,3,342.436
1,O,S2_A0,4,520.234
1,O,S2_A0,5,490.364
1,O,S2_A0,6,561.789
1,O,S2_A0,7,523.931
1,O,L1_A1,1,381.695
1,O,L1_A1,2,459.079
1,O,L1_A1,3,375.081
1,O,L1_A1,4,411.779
1,O,L1_A1,5,478.107
1,O,L1_A1,6,359.158
1,O,L1_A1,7,260.400
1,O,L2_A1,1,232.320
1,O,L2_A1,2,254.189
1,O,L2_A1,3,272.404
1,O,L2_A1,4,207.106
1,O,L2_A1,5,219.903
1,O,L2_A1,6,221.019
1,O,L2_A1,7,258.635
1,O,S1_A1,1,563.172
1,O,S1_A1,2,1042.233
1,O,S1_A1,3,658.399
1,O,S1_A1,4,829.128
1,O,S1_A1,5,549.226
1,O,S1_A1,6,471.818
1,O,S1_A1,7,481.851
1,O,S2_A1,1,553.480
1,O,S2_A1,2,573.234
1,O,S2_A1,3,428.861
1,O,S2_A1,4,457.598
1,O,S2_A1,5,411.566
1,O,S2_A1,6,544.646
1,O,S2_A1,7,398.159
1,O,L1_A5,1,48.024
1,O,L1_A5,2,12.989
1,O,L1_A5,3,10.617
1,O,L1_A5,4,11.253
1,O,L1_A5,5,10.617
1,O,L1_A5,6,10.012
1,O,L1_A5,7,10.127
1,O,L2_A5,1,15.098
1,O,L2_A5,2,12.257
1,O,L2_A5,3,16.160
1,O,L2_A5,4,11.178
1,O,L2_A5,5,10.165
1,O,L2_A5,6,11.036
1,O,L2_A5,7,11.039
1,O,S1_A5,1,18.549
1,O,S1_A5,2,21.914
1,O,S1_A5,3,22.543
1,O,S1_A5,4,19.550
1,O,S1_A5,5,19.677
1,O,S1_A5,6,29.631
1,O,S1_A5,7,29.755
1,O,S2_A5,1,34.495
1,O,S2_A5,2,35.707
1,O,S2_A5,3,39.941
1,O,S2_A5,4,34.038
1,O,S2_A5,5,20.522
1,O,S2_A5,6,19.458
1,O,S2_A5,7,22.549
2,A,L1_A0,1,32.978
2,A,L1_A0,2,2.414
2,A,L1_A0,3,18.173
2,A,L1_A0,4,15.134
2,A,L1_A0,5,2.143
2,A,L1_A0,6,14.519
2,A,L1_A0,7,3.214
2,A,L2_A0,1,18.634
2,A,L2_A0,2,13.524
2,A,L2_A0,3,5.917
2,A,L2_A0,4,2.861
2,A,L2_A0,5,2.629
2,A,L2_A0,6,1.834
2,A,L2_A0,7,2.448
2,A,S1_A0,1,1137.007
2,A,S1_A0,2,1358.173
2,A,S1_A0,3,1004.481
2,A,S1_A0,4,721.978
2,A,S1_A0,5,754.327
2,A,S1_A0,6,709.103
2,A,S1_A0,7,601.177
2,A,S2_A0,1,4.894
2,A,S2_A0,2,2.361
2,A,S2_A0,3,2.338
2,A,S2_A0,4,3.109
2,A,S2_A0,5,3.227
2,A,S2_A0,6,5.386
2,A,S2_A0,7,2.376
2,A,L1_A1,1,1.817
2,A,L1_A1,2,1.916
2,A,L1_A1,3,1.925
2,A,L1_A1,4,2.417
2,A,L1_A1,5,1.870
2,A,L1_A1,6,5.254
2,A,L1_A1,7,2.028
2,A,L2_A1,1,3.963
2,A,L2_A1,2,3.540
2,A,L2_A1,3,3.086
2,A,L2_A1,4,2.739
2,A,L2_A1,5,2.613
2,A,L2_A1,6,2.808
2,A,L2_A1,7,5.352
2,A,S1_A1,1,1831.758
2,A,S1_A1,2,2200.202
2,A,S1_A1,3,2129.542
2,A,S1_A1,4,2165.438
2,A,S1_A1,5,1987.032
2,A,S1_A1,6,1852.071
2,A,S1_A1,7,2198.529
2,A,S2_A1,1,4.321
2,A,S2_A1,2,2.823
2,A,S2_A1,3,2.464
2,A,S2_A1,4,2.463
2,A,S2_A1,5,2.156
2,A,S2_A1,6,2.613
2,A,S2_A1,7,2.230
2,A,L1_A5,1,7.343
2,A,L1_A5,2,4.197
2,A,L1_A5,3,4.014
2,A,L1_A5,4,4.036
2,A,L1_A5,5,4.558
2,A,L1_A5,6,4.043
2,A,L1_A5,7,4.378
2,A,L2_A5,1,9.832
2,A,L2_A5,2,4.575
2,A,L2_A5,3,4.373
2,A,L2_A5,4,4.226
2,A,L2_A5,5,11.501
2,A,L2_A5,6,7.818
2,A,L2_A5,7,15.478
2,A,S1_A5,1,67.028
2,A,S1_A5,2,40.102
2,A,S1_A5,3,27.253
2,A,S1_A5,4,21.360
2,A,S1_A5,5,63.088
2,A,S1_A5,6,21.466
2,A,S1_A5,7,18.744
2,A,S2_A5,1,107.004
2,A,S2_A5,2,80.334
2,A,S2_A5,3,77.630
2,A,S2_A5,4,65.664
2,A,S2_A5,5,68.705
2,A,S2_A5,6,70.063
2,A,S2_A5,7,62.546
3,B,L1_A0,1,7.711
3,B,L1_A0,2,0.593
3,B,L1_A0,3,0.653
3,B,L1_A0,4,0.648
3,B,L1_A0,5,0.645
3,B,L1_A0,6,0.637
3,B,L1_A0,7,2.577
3,B,L2_A0,1,1.108
3,B,L2_A0,2,0.715
3,B,L2_A0,3,0.642
3,B,L2_A0,4,1.436
3,B,L2_A0,5,1.281
3,B,L2_A0,6,1.601
3,B,L2_A0,7,0.998
3,B,S1_A0,1,264.868
3,B,S1_A0,2,211.867
3,B,S1_A0,3,202.965
3,B,S1_A0,4,189.401
3,B,S1_A0,5,215.138
3,B,S1_A0,6,190.462
3,B,S1_A0,7,192.389
3,B,S2_A0,1,1.261
3,B,S2_A0,2,0.930
3,B,S2_A0,3,1.632
3,B,S2_A0,4,0.994
3,B,S2_A0,5,0.997
3,B,S2_A0,6,0.915
3,B,S2_A0,7,0.910
3,B,L1_A1,1,0.623
3,B,L1_A1,2,0.524
3,B,L1_A1,3,0.514
3,B,L1_A1,4,0.479
3,B,L1_A1,5,0.525
3,B,L1_A1,6,0.494
3,B,L1_A1,7,0.498
3,B,L2_A1,1,0.954
3,B,L2_A1,2,0.737
3,B,L2_A1,3,1.294
3,B,L2_A1,4,0.631
3,B,L2_A1,5,0.694
3,B,L2_A1,6,0.689
3,B,L2_A1,7,0.640
3,B,S1_A1,1,1344.854
3,B,S1_A1,2,1277.168
3,B,S1_A1,3,1284.168
3,B,S1_A1,4,1474.725
3,B,S1_A1,5,1500.769
3,B,S1_A1,6,1454.930
3,B,S1_A1,7,1735.827
3,B,S2_A1,1,1.454
3,B,S2_A1,2,1.224
3,B,S2_A1,3,1.165
3,B,S2_A1,4,1.095
3,B,S2_A1,5,0.999
3,B,S2_A1,6,0.966
3,B,S2_A1,7,1.421
3,B,L1_A5,1,1.003
3,B,L1_A5,2,0.580
3,B,L1_A5,3,0.496
3,B,L1_A5,4,0.779
3,B,L1_A5,5,0.714
3,B,L1_A5,6,0.696
3,B,L1_A5,7,0.498
3,B,L2_A5,1,0.833
3,B,L2_A5,2,0.559
3,B,L2_A5,3,0.533
3,B,L2_A5,4,0.613
3,B,L2_A5,5,0.640
3,B,L2_A5,6,0.587
3,B,L2_A5,7,0.530
3,B,S1_A5,1,54.425
3,B,S1_A5,2,24.375
3,B,S1_A5,3,19.459
3,B,S1_A5,4,23.381
3,B,S1_A5,5,24.079
3,B,S1_A5,6,24.243
3,B,S1_A5,7,20.498
3,B,S2_A5,1,1.714
3,B,S2_A5,2,1.633
3,B,S2_A5,3,1.633
3,B,S2_A5,4,1.787
3,B,S2_A5,5,1.551
3,B,S2_A5,6,1.797
3,B,S2_A5,7,1.756
