pass,state,query,run,ms
1,O,L1_A0,1,3217.801
1,O,L1_A0,2,300.588
1,O,L1_A0,3,216.802
1,O,L1_A0,4,357.995
1,O,L1_A0,5,544.478
1,O,L1_A0,6,234.541
1,O,L1_A0,7,367.092
1,O,L2_A0,1,182.826
1,O,L2_A0,2,223.117
1,O,L2_A0,3,229.317
1,O,L2_A0,4,366.284
1,O,L2_A0,5,513.809
1,O,L2_A0,6,228.088
1,O,L2_A0,7,197.148
1,O,S1_A0,1,407.153
1,O,S1_A0,2,253.141
1,O,S1_A0,3,239.774
1,O,S1_A0,4,269.442
1,O,S1_A0,5,273.472
1,O,S1_A0,6,256.011
1,O,S1_A0,7,229.633
1,O,S2_A0,1,254.596
1,O,S2_A0,2,333.655
1,O,S2_A0,3,338.131
1,O,S2_A0,4,383.773
1,O,S2_A0,5,362.427
1,O,S2_A0,6,264.573
1,O,S2_A0,7,249.860
1,O,L1_A1,1,986.297
1,O,L1_A1,2,993.227
1,O,L1_A1,3,785.397
1,O,L1_A1,4,484.814
1,O,L1_A1,5,721.307
1,O,L1_A1,6,1103.035
1,O,L1_A1,7,477.226
1,O,L2_A1,1,232.286
1,O,L2_A1,2,267.136
1,O,L2_A1,3,316.051
1,O,L2_A1,4,180.759
1,O,L2_A1,5,181.963
1,O,L2_A1,6,179.570
1,O,L2_A1,7,178.875
1,O,S1_A1,1,441.254
1,O,S1_A1,2,398.838
1,O,S1_A1,3,477.344
1,O,S1_A1,4,442.602
1,O,S1_A1,5,429.237
1,O,S1_A1,6,444.922
1,O,S1_A1,7,621.634
1,O,S2_A1,1,787.393
1,O,S2_A1,2,1216.865
1,O,S2_A1,3,438.534
1,O,S2_A1,4,404.738
1,O,S2_A1,5,388.444
1,O,S2_A1,6,392.540
1,O,S2_A1,7,556.578
1,O,L1_A5,1,739.380
1,O,L1_A5,2,18.070
1,O,L1_A5,3,10.449
1,O,L1_A5,4,15.206
1,O,L1_A5,5,10.507
1,O,L1_A5,6,10.799
1,O,L1_A5,7,14.638
1,O,L2_A5,1,17.288
