t_s,n_live_tup,n_dead_tup,autovacuum_count,phase,heap_blks_scanned,heap_blks_total,index_vacuum_count,heap_bytes
10,49998,450000,0,,0,0,0,292577280
17,49998,450000,0,,0,0,0,292577280
28,49998,450000,0,,0,0,0,292577280
36,49998,450000,0,,0,0,0,292577280
42,49998,450000,0,,0,0,0,292577280
49,49998,450000,0,,0,0,0,292577280
56,49998,450000,0,scanning heap,12787,35715,0,292577280
64,49998,450000,0,vacuuming indexes,35715,35715,0,292577280
70,49998,450000,0,vacuuming heap,35715,35715,1,292577280
76,50175,0,1,,0,0,0,292577280
