t_epoch,t_iso,elapsed_s,phase,chunks,sources,d_chunks,d_sources,ms_per_source,app,ins_calls,ins_ms,d_ins_calls,d_ins_ms,ins_ms_per_call,all_calls,all_ms,ckpt_timed,ckpt_req,ckpt_buffers,wal_mb,n_dead,n_ins_since_vac,autovac_count,last_autovac,vac_running,heap_mb,hnsw_mb,backends,lock_waits,cpu_app,cpu_db,cpu_tei,mem_app
1789653162,2026-09-17T13:52:45Z,60,baseline,718,600,718,600,100.0,up,718,477.5,718,477.5,0.665,1523,565,0,0,0,5.0,0,718,2,13:49:36,0,1,1,11,0,0.94%,0.04%,200.60%,451.8MiB
1789653225,2026-09-17T13:53:48Z,123,baseline,1922,1600,1204,1000,63.0,up,1922,1475.4,1204,997.9,0.829,3773,1574,0,0,0,12.1,0,121,3,13:53:36,0,1,4,11,0,4.37%,8.88%,189.68%,457.9MiB
1789653288,2026-09-17T13:54:51Z,186,baseline,3158,2600,1236,1000,63.0,up,3158,2584.4,1236,1109.0,0.897,6056,2699,1,0,1695,23.1,0,1357,3,13:53:36,0,2,6,11,0,0.29%,0.11%,199.80%,462.3MiB
1789653351,2026-09-17T13:55:54Z,249,baseline,4355,3600,1197,1000,63.0,up,4370,3738.5,1212,1154.1,0.952,8317,3872,1,0,3731,30.1,0,238,4,13:55:36,0,3,8,11,0,0.74%,9.21%,200.68%,464.4MiB
1789653414,2026-09-17T13:56:57Z,312,baseline,5658,4700,1303,1100,57.3,up,5658,5016.5,1288,1278.0,0.992,10752,5165,1,0,5593,37.6,0,1541,4,13:55:36,0,4,11,11,0,8.39%,12.53%,200.57%,466.1MiB
1789653477,2026-09-17T13:58:00Z,375,baseline,6971,5800,1313,1100,57.3,up,6971,6326.9,1313,1310.4,0.998,13215,6493,1,0,7229,45.0,0,478,5,13:57:36,0,5,13,11,0,0.74%,0.10%,199.72%,467.2MiB
1789653540,2026-09-17T13:59:03Z,438,baseline,8158,6800,1187,1000,63.0,up,8158,7610.4,1187,1283.5,1.081,15448,7794,2,0,8271,61.9,0,1665,5,13:57:36,0,6,15,11,0,0.55%,0.09%,201.56%,468.2MiB
1789653603,2026-09-17T14:00:06Z,501,baseline,9469,7900,1311,1100,57.3,up,9469,9010.0,1311,1399.6,1.068,17909,9215,2,0,9099,72.6,0,2976,5,13:57:36,0,7,17,11,0,0.62%,0.08%,199.12%,469.2MiB
1789653666,2026-09-17T14:01:09Z,564,baseline,10673,8900,1204,1000,63.0,up,10673,10278.1,1204,1268.1,1.053,20159,10505,2,0,9987,79.4,0,603,6,14:00:37,0,8,19,11,0,8.29%,0.09%,172.10%,470.3MiB
1789653729,2026-09-17T14:02:12Z,627,baseline,11966,10000,1293,1100,57.3,up,11966,11766.0,1293,1487.9,1.151,22602,12016,2,0,10877,86.6,0,1896,6,14:00:37,0,9,22,11,0,0.54%,0.07%,200.48%,471MiB
1789653792,2026-09-17T14:03:15Z,690,baseline,13177,11000,1211,1000,63.0,up,13177,13044.5,1211,1278.5,1.056,24859,13320,2,0,11765,93.4,0,3107,6,14:00:37,0,10,24,11,0,0.53%,0.09%,170.54%,471.9MiB
1789653855,2026-09-17T14:04:18Z,753,baseline,14498,12100,1321,1100,57.3,up,14498,14538.9,1321,1494.4,1.131,27330,14842,3,0,12344,121.9,0,737,7,14:03:37,0,11,26,11,0,0.22%,4.23%,200.68%,472.4MiB
