seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1789794823,2026-09-19T05:13:43+00:00,0,0,0,,,,,2.00,no,
2,1789794884,2026-09-19T05:14:44+00:00,61,599,500,599,500,101.8,122.0,2.00,yes,
3,1789794944,2026-09-19T05:15:44+00:00,121,1572,1300,973,800,61.7,75.0,2.00,yes,
4,1789795004,2026-09-19T05:16:45+00:00,181,2525,2100,953,800,63.0,75.0,2.00,yes,
5,1789795065,2026-09-19T05:17:45+00:00,242,3505,2900,980,800,62.2,76.2,2.00,yes,
6,1789795125,2026-09-19T05:18:46+00:00,302,4472,3700,967,800,62.0,75.0,2.00,yes,
7,1789795186,2026-09-19T05:19:46+00:00,363,5534,4600,1062,900,57.4,67.8,2.00,yes,
8,1789795246,2026-09-19T05:20:46+00:00,423,6493,5400,959,800,62.6,75.0,2.00,yes,
9,1789795307,2026-09-19T05:21:47+00:00,484,7446,6200,953,800,64.0,76.2,2.00,yes,
10,1789795367,2026-09-19T05:22:47+00:00,544,8391,7000,945,800,63.5,75.0,2.00,yes,
11,1789795427,2026-09-19T05:23:48+00:00,604,9469,7900,1078,900,55.7,66.7,2.00,yes,
12,1789795488,2026-09-19T05:24:48+00:00,665,10436,8700,967,800,63.1,76.2,2.00,yes,
13,1789795548,2026-09-19T05:25:49+00:00,725,11388,9500,952,800,63.0,75.0,2.00,yes,
14,1789795609,2026-09-19T05:26:49+00:00,786,12452,10400,1064,900,57.3,67.8,2.00,yes,
15,1789795669,2026-09-19T05:27:49+00:00,846,13408,11200,956,800,62.8,75.0,2.00,yes,
16,1789795730,2026-09-19T05:28:50+00:00,907,14371,12000,963,800,63.3,76.2,2.00,yes,
17,1789795790,2026-09-19T05:29:50+00:00,967,15333,12800,962,800,62.4,75.0,2.00,yes,
18,1789795851,2026-09-19T05:30:51+00:00,1028,16404,13700,1071,900,57.0,67.8,2.00,yes,
19,1789795911,2026-09-19T05:31:51+00:00,1088,17347,14500,943,800,63.6,75.0,2.00,yes,
20,1789795971,2026-09-19T05:32:52+00:00,1148,18295,15300,948,800,63.3,75.0,2.00,yes,
21,1789796032,2026-09-19T05:33:52+00:00,1209,19258,16100,963,800,63.3,76.2,2.00,yes,
22,1789796092,2026-09-19T05:34:53+00:00,1269,20232,16900,974,800,61.6,75.0,2.00,yes,
23,1789796153,2026-09-19T05:35:53+00:00,1330,21302,17800,1070,900,57.0,67.8,2.00,yes,
24,1789796213,2026-09-19T05:36:53+00:00,1390,22253,18600,951,800,63.1,75.0,2.00,yes,
25,1789796274,2026-09-19T05:37:54+00:00,1451,23208,19400,955,800,63.9,76.2,2.00,yes,
26,1789796334,2026-09-19T05:38:54+00:00,1511,24266,20300,1058,900,56.7,66.7,2.00,yes,
27,1789796394,2026-09-19T05:39:55+00:00,1571,25218,21100,952,800,63.0,75.0,2.00,yes,
28,1789796455,2026-09-19T05:40:55+00:00,1632,26166,21900,948,800,64.3,76.2,2.00,yes,
29,1789796515,2026-09-19T05:41:56+00:00,1692,27134,22700,968,800,62.0,75.0,2.00,yes,
30,1789796576,2026-09-19T05:42:56+00:00,1753,28202,23600,1068,900,57.1,67.8,2.00,yes,
31,1789796636,2026-09-19T05:43:56+00:00,1813,29166,24400,964,800,62.2,75.0,2.00,yes,
32,1789796697,2026-09-19T05:44:57+00:00,1874,30120,25200,954,800,63.9,76.2,2.00,yes,
33,1789796757,2026-09-19T05:45:57+00:00,1934,30964,25900,844,700,71.1,85.7,2.00,yes,
34,1789796818,2026-09-19T05:46:58+00:00,1995,32049,26800,1085,900,56.2,67.8,2.00,yes,
35,1789796878,2026-09-19T05:47:58+00:00,2055,33019,27600,970,800,61.9,75.0,2.00,yes,
36,1789796938,2026-09-19T05:48:59+00:00,2115,33961,28400,942,800,63.7,75.0,2.00,yes,
37,1789796999,2026-09-19T05:49:59+00:00,2176,34923,29200,962,800,63.4,76.2,2.00,yes,
38,1789797059,2026-09-19T05:51:00+00:00,2236,35884,30000,961,800,62.4,75.0,2.00,yes,
39,1789797120,2026-09-19T05:52:00+00:00,2297,36842,30800,958,800,63.7,76.2,2.00,yes,
40,1789797180,2026-09-19T05:53:00+00:00,2357,37807,31600,965,800,62.2,75.0,2.00,yes,
41,1789797241,2026-09-19T05:54:01+00:00,2418,38767,32400,960,800,63.5,76.2,2.00,yes,
42,1789797301,2026-09-19T05:55:01+00:00,2478,39741,33200,974,800,61.6,75.0,2.00,yes,
43,1789797362,2026-09-19T05:56:02+00:00,2539,40695,34000,954,800,63.9,76.2,2.00,yes,
44,1789797422,2026-09-19T05:57:02+00:00,2599,41648,34800,953,800,63.0,75.0,2.00,yes,
45,1789797483,2026-09-19T05:58:03+00:00,2660,42611,35600,963,800,63.3,76.2,2.00,yes,
46,1789797543,2026-09-19T05:59:03+00:00,2720,43685,36500,1074,900,55.9,66.7,2.00,yes,
47,1789797603,2026-09-19T06:00:04+00:00,2780,44649,37300,964,800,62.2,75.0,2.00,yes,
48,1789797664,2026-09-19T06:01:04+00:00,2841,45486,38000,837,700,72.9,87.1,2.00,yes,
49,1789797724,2026-09-19T06:02:05+00:00,2901,46567,38900,1081,900,55.5,66.7,2.00,yes,
50,1789797785,2026-09-19T06:03:05+00:00,2962,47520,39700,953,800,64.0,76.2,2.00,yes,
51,1789797845,2026-09-19T06:04:06+00:00,3022,48488,40500,968,800,62.0,75.0,2.00,yes,
52,1789797906,2026-09-19T06:05:06+00:00,3083,49547,41400,1059,900,57.6,67.8,2.00,yes,
53,1789797966,2026-09-19T06:06:07+00:00,3143,50600,42300,1053,900,57.0,66.7,2.00,yes,
54,1789798027,2026-09-19T06:07:07+00:00,3204,51564,43100,964,800,63.3,76.2,2.00,yes,
55,1789798087,2026-09-19T06:08:08+00:00,3264,52525,43900,961,800,62.4,75.0,2.00,yes,
56,1789798148,2026-09-19T06:09:08+00:00,3325,53476,44700,951,800,64.1,76.2,2.00,yes,
57,1789798208,2026-09-19T06:10:09+00:00,3385,54456,45500,980,800,61.2,75.0,2.00,yes,
58,1789798269,2026-09-19T06:11:09+00:00,3446,55391,46300,935,800,65.2,76.2,2.00,yes,
59,1789798329,2026-09-19T06:12:09+00:00,3506,56364,47100,973,800,61.7,75.0,2.00,yes,
60,1789798390,2026-09-19T06:13:10+00:00,3567,57330,47900,966,800,63.1,76.2,2.00,yes,
61,1789798450,2026-09-19T06:14:11+00:00,3627,58288,48700,958,800,62.6,75.0,2.00,yes,
62,1789798511,2026-09-19T06:15:11+00:00,3688,59247,49500,959,800,63.6,76.2,2.00,yes,
63,1789798571,2026-09-19T06:16:11+00:00,3748,60214,50300,967,800,62.0,75.0,2.00,yes,
