t_epoch,t_iso,elapsed_s,phase,chunks,sources,d_chunks,d_sources,ms_per_source,app,ins_calls,ins_ms,d_ins_calls,d_ins_ms,ins_ms_per_call,all_calls,all_ms,ckpt_timed,ckpt_req,ckpt_buffers,wal_mb,n_dead,n_ins_since_vac,autovac_count,last_autovac,vac_running,heap_mb,hnsw_mb,backends,lock_waits,cpu_app,cpu_db,cpu_tei,mem_app,mem_db_cur_mb,mem_db_max_mb,mem_db_file_mb,mem_db_anon_mb,mem_db_shmem_mb,mem_db_events_max
1789794885,2026-09-19T05:14:48Z,60,baseline,599,500,599,500,120.0,up,599,415.3,599,415.3,0.693,1293,455,0,0,0,3.5,0,599,4,05:09:36,0,0,1,11,0,3.42%,0.04%,200.32%,453MiB,58,512,32,20,23,0
1789794948,2026-09-19T05:15:51Z,123,baseline,1572,1300,973,800,78.8,up,1572,1223.1,973,807.8,0.830,3104,1276,0,0,0,9.3,0,0,5,05:15:48,0,1,3,11,0,26.48%,72.69%,174.61%,461.3MiB,73,512,49,18,29,0
1789795011,2026-09-19T05:16:54Z,186,baseline,2649,2200,1077,900,70.0,up,2649,2229.9,1077,1006.8,0.935,5122,2298,0,0,0,15.7,0,1077,5,05:15:48,0,2,5,11,0,0.29%,0.02%,200.32%,464.9MiB,88,512,64,18,34,0
1789795075,2026-09-19T05:17:58Z,250,baseline,3627,3000,978,800,80.0,up,3627,3172.4,978,942.5,0.964,6938,3266,0,0,0,21.4,0,122,6,05:17:48,0,3,7,11,0,0.80%,0.01%,198.62%,466.4MiB,103,512,79,18,39,0
1789795138,2026-09-19T05:19:01Z,313,baseline,4709,3900,1082,900,70.0,up,4709,4266.2,1082,1093.8,1.011,8962,4374,1,0,504,34.3,0,1204,6,05:17:48,0,4,9,11,0,1.00%,0.09%,199.57%,468.2MiB,127,512,103,18,44,0
1789795201,2026-09-19T05:20:04Z,376,baseline,5781,4800,1072,900,70.0,up,5781,5355.3,1072,1089.1,1.016,10975,5491,1,0,1135,40.4,0,247,7,05:19:48,0,4,11,11,0,0.80%,4.24%,199.50%,469.4MiB,143,512,119,18,50,0
1789795264,2026-09-19T05:21:07Z,439,baseline,6729,5600,948,800,78.8,up,6729,6352.6,948,997.3,1.052,12760,6505,1,0,1765,45.8,0,1195,7,05:19:48,0,5,12,11,0,0.22%,0.08%,198.94%,470.4MiB,159,512,135,18,55,0
1789795327,2026-09-19T05:22:10Z,502,baseline,7800,6500,1071,900,70.0,up,7800,7483.8,1071,1131.2,1.056,14772,7655,1,0,2248,51.9,0,2266,7,05:19:48,0,6,14,11,0,0.68%,0.01%,201.16%,471.6MiB,156,512,132,18,59,0
1789795391,2026-09-19T05:23:14Z,566,baseline,8867,7400,1067,900,71.1,up,8867,8611.2,1067,1127.4,1.057,16781,8823,2,0,2353,68.6,0,476,8,05:22:48,0,7,16,11,0,0.42%,4.22%,200.31%,472.5MiB,183,512,159,18,65,0
1789795454,2026-09-19T05:24:17Z,629,baseline,9844,8200,977,800,78.8,up,9844,9667.4,977,1056.2,1.081,18595,9906,2,0,3157,78.0,0,1453,8,05:22:48,0,8,18,11,0,0.25%,0.09%,200.51%,473.1MiB,203,512,179,18,70,0
