seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1789810295,2026-09-19T09:31:36+00:00,0,225728,188021,,,,,2.00,no,
2,1789810356,2026-09-19T09:32:36+00:00,61,226327,188521,599,500,101.8,122.0,2.00,yes,
3,1789810417,2026-09-19T09:33:37+00:00,122,227300,189321,973,800,62.7,76.2,2.00,yes,
4,1789810477,2026-09-19T09:34:38+00:00,182,228253,190121,953,800,63.0,75.0,2.00,yes,
5,1789810538,2026-09-19T09:35:38+00:00,243,229233,190921,980,800,62.2,76.2,2.00,yes,
6,1789810599,2026-09-19T09:36:39+00:00,304,230200,191721,967,800,63.1,76.2,2.00,yes,
7,1789810659,2026-09-19T09:37:40+00:00,364,231262,192621,1062,900,56.5,66.7,2.00,yes,
8,1789810720,2026-09-19T09:38:40+00:00,425,232221,193421,959,800,63.6,76.2,2.00,yes,
9,1789810781,2026-09-19T09:39:41+00:00,486,233174,194221,953,800,64.0,76.2,2.00,yes,
10,1789810841,2026-09-19T09:40:42+00:00,546,234119,195021,945,800,63.5,75.0,2.00,yes,
11,1789810902,2026-09-19T09:41:42+00:00,607,235074,195821,955,800,63.9,76.2,2.00,yes,
12,1789810963,2026-09-19T09:42:43+00:00,668,236045,196621,971,800,62.8,76.2,2.00,yes,
13,1789811023,2026-09-19T09:43:44+00:00,728,237116,197521,1071,900,56.0,66.7,2.00,yes,
14,1789811084,2026-09-19T09:44:44+00:00,789,238062,198321,946,800,64.5,76.2,2.00,yes,
15,1789811144,2026-09-19T09:45:45+00:00,849,239021,199121,959,800,62.6,75.0,2.00,yes,
16,1789811205,2026-09-19T09:46:46+00:00,910,239980,199921,959,800,63.6,76.2,2.00,yes,
