t_epoch,t_iso,elapsed_s,phase,chunks,sources,d_chunks,d_sources,ms_per_source,app,ins_calls,ins_ms,d_ins_calls,d_ins_ms,ins_ms_per_call,all_calls,all_ms,ckpt_timed,ckpt_req,ckpt_buffers,wal_mb,n_dead,n_ins_since_vac,autovac_count,last_autovac,vac_running,heap_mb,hnsw_mb,backends,lock_waits,cpu_app,cpu_db,cpu_tei,mem_app,mem_db_cur_mb,mem_db_max_mb,mem_db_file_mb,mem_db_anon_mb,mem_db_shmem_mb,mem_db_events_max
1789810357,2026-09-19T09:32:41Z,60,baseline,226327,188521,599,500,120.0,up,599,1210.9,599,1210.9,2.022,1305,82028,0,0,0,39.8,14371,599,21,09:03:12,0,183,405,11,0,0.47%,0.02%,200.29%,451.4MiB,993,1024,964,19,142,76050
1789810421,2026-09-19T09:33:44Z,124,baseline,227300,189321,973,800,80.0,up,1572,3065.1,973,1854.2,1.906,3116,84376,1,0,44,48.3,14371,1572,21,09:03:12,0,183,405,11,0,8.48%,0.02%,200.20%,457.8MiB,994,1024,965,19,142,76102
1789810484,2026-09-19T09:34:47Z,187,baseline,228377,190221,1077,900,70.0,up,2649,5133.4,1077,2068.3,1.920,5134,86934,1,0,44,57.2,14371,2649,21,09:03:12,0,183,405,11,0,0.93%,0.01%,200.42%,463MiB,993,1024,964,19,142,76158
1789810548,2026-09-19T09:35:51Z,251,baseline,229355,191021,978,800,80.0,up,3627,6996.7,978,1863.3,1.905,6950,89302,1,0,44,64.2,14371,3627,21,09:03:12,0,183,405,11,0,4.31%,0.03%,199.78%,464MiB,993,1024,964,19,142,76201
1789810611,2026-09-19T09:36:54Z,314,baseline,230437,191921,1082,900,70.0,up,4709,9075.1,1082,2078.4,1.921,8974,91870,1,0,44,70.9,14371,4709,21,09:03:12,0,183,405,11,0,0.96%,0.02%,201.44%,465.6MiB,993,1024,964,19,142,76220
1789810675,2026-09-19T09:37:58Z,378,baseline,231509,192821,1072,900,71.1,up,5781,11129.7,1072,2054.6,1.917,10987,94414,1,0,44,77.9,14371,5781,21,09:03:12,0,183,406,11,0,0.59%,0.02%,199.96%,466.6MiB,993,1024,964,19,142,76221
1789810738,2026-09-19T09:39:01Z,441,baseline,232457,193621,948,800,78.8,up,6729,12978.1,948,1848.4,1.950,12772,96750,2,0,75,87.8,14371,6729,21,09:03:12,0,183,406,11,0,1.82%,21.94%,152.85%,467.5MiB,994,1024,965,19,142,76253
1789810802,2026-09-19T09:40:05Z,505,watch,233528,194521,1071,900,71.1,up,7800,15068.8,1071,2090.7,1.952,14785,99352,2,0,75,96.9,14371,7800,21,09:03:12,0,183,406,11,0,3.44%,0.01%,197.36%,468.8MiB,990,1024,961,19,142,76324
1789810865,2026-09-19T09:41:08Z,568,watch,234481,195321,953,800,78.8,up,8753,16911.7,953,1842.9,1.934,16576,101697,2,0,75,102.9,14371,8753,21,09:03:12,0,183,406,11,0,0.22%,0.02%,152.12%,470.2MiB,992,1024,963,19,142,76324
1789810929,2026-09-19T09:42:12Z,632,watch,235572,196221,1091,900,71.1,up,9844,19006.9,1091,2095.2,1.920,18608,104294,2,0,75,110.4,14371,9844,21,09:03:12,0,183,406,11,0,0.24%,5.47%,199.72%,470.6MiB,992,1024,963,19,142,76324
1789810992,2026-09-19T09:43:15Z,695,watch,236522,197021,950,800,78.8,up,10794,20831.9,950,1825.0,1.921,20395,106616,3,0,119,116.6,14371,10794,21,09:03:12,0,183,406,11,0,4.24%,22.74%,201.81%,471.6MiB,994,1024,964,19,142,76338
1789811055,2026-09-19T09:44:19Z,758,watch,237694,198021,1172,1000,63.0,up,11966,23122.8,1172,2290.9,1.955,22613,109408,3,0,141,127.0,14371,11966,21,09:03:12,0,183,406,11,0,0.25%,4.24%,200.48%,472.4MiB,992,1024,963,19,142,76400
1789811119,2026-09-19T09:45:22Z,822,watch,238655,198821,961,800,80.0,up,12927,24974.3,961,1851.5,1.927,24411,111775,3,0,141,134.3,14371,12927,21,09:03:12,0,183,406,11,0,0.56%,0.02%,200.45%,473MiB,992,1024,963,19,142,76447
1789811182,2026-09-19T09:46:26Z,885,watch,239618,199621,963,800,78.8,up,13890,26824.4,963,1850.1,1.921,26211,114165,3,0,141,141.1,14371,13890,21,09:03:12,0,183,406,11,0,0.24%,23.67%,198.91%,473.7MiB,996,1024,964,22,142,76490
1789811246,2026-09-19T09:47:29Z,949,watch,240099,200021,481,400,160.0,up,14371,27753.1,481,928.7,1.931,218799,120893,3,0,141,144.7,14371,14371,21,09:03:12,0,184,406,11,0,0.19%,4.26%,0.18%,481MiB,992,1024,963,19,143,78422
