seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1789811654,2026-09-19T09:54:14+00:00,0,225728,188021,,,,,2.00,no,
2,1789811714,2026-09-19T09:55:15+00:00,60,226202,188421,474,400,126.6,150.0,2.00,yes,
3,1789811775,2026-09-19T09:56:15+00:00,121,227300,189321,1098,900,55.6,67.8,2.00,yes,
4,1789811836,2026-09-19T09:57:16+00:00,182,228253,190121,953,800,64.0,76.2,2.00,yes,
5,1789811896,2026-09-19T09:58:17+00:00,242,229233,190921,980,800,61.2,75.0,2.00,yes,
6,1789811957,2026-09-19T09:59:17+00:00,303,230200,191721,967,800,63.1,76.2,2.00,yes,
7,1789812018,2026-09-19T10:00:18+00:00,364,231262,192621,1062,900,57.4,67.8,2.00,yes,
8,1789812078,2026-09-19T10:01:19+00:00,424,232221,193421,959,800,62.6,75.0,2.00,yes,
9,1789812139,2026-09-19T10:02:19+00:00,485,233294,194321,1073,900,56.8,67.8,2.00,yes,
10,1789812199,2026-09-19T10:03:20+00:00,545,234250,195121,956,800,62.8,75.0,2.00,yes,
11,1789812260,2026-09-19T10:04:21+00:00,606,235326,196021,1076,900,56.7,67.8,2.00,yes,
12,1789812321,2026-09-19T10:05:21+00:00,667,236401,196921,1075,900,56.7,67.8,2.00,yes,
13,1789812381,2026-09-19T10:06:22+00:00,727,237460,197821,1059,900,56.7,66.7,2.00,yes,
14,1789812442,2026-09-19T10:07:22+00:00,788,238418,198621,958,800,63.7,76.2,2.00,yes,
15,1789812503,2026-09-19T10:08:23+00:00,849,239374,199421,956,800,63.8,76.2,2.00,yes,
16,1789812563,2026-09-19T10:09:24+00:00,909,240099,200021,725,600,82.8,100.0,2.00,yes,
