t_epoch,t_iso,elapsed_s,phase,chunks,sources,d_chunks,d_sources,ms_per_source,app,ins_calls,ins_ms,d_ins_calls,d_ins_ms,ins_ms_per_call,all_calls,all_ms,ckpt_timed,ckpt_req,ckpt_buffers,wal_mb,n_dead,n_ins_since_vac,autovac_count,last_autovac,vac_running,heap_mb,hnsw_mb,backends,lock_waits,cpu_app,cpu_db,cpu_tei,mem_app,mem_db_cur_mb,mem_db_max_mb,mem_db_file_mb,mem_db_anon_mb,mem_db_shmem_mb,mem_db_events_max
1789811716,2026-09-19T09:55:19Z,61,baseline,226327,188521,599,500,120.0,up,599,4401.7,599,4401.7,7.348,1305,81159,1,0,4305,42.7,28742,599,21,09:03:12,0,184,406,11,0,0.42%,0.05%,200.10%,430.9MiB,993,1024,964,19,142,86284
1789811779,2026-09-19T09:56:22Z,124,baseline,227300,189321,973,800,78.8,up,1572,6259.5,973,1857.8,1.909,3116,83531,1,0,4305,49.9,28742,1572,21,09:03:12,0,184,406,11,0,23.36%,2.41%,148.95%,439MiB,993,1024,964,19,142,86336
1789811843,2026-09-19T09:57:26Z,188,baseline,228377,190221,1077,900,71.1,up,2649,8309.6,1077,2050.1,1.904,5134,86062,1,0,4305,56.7,28742,2649,21,09:03:12,0,184,406,11,0,1.41%,0.04%,200.43%,441.9MiB,993,1024,964,19,142,86368
1789811906,2026-09-19T09:58:29Z,251,baseline,229355,191021,978,800,78.8,up,3627,10164.8,978,1855.2,1.897,6950,88391,2,0,4355,65.5,28742,3627,21,09:03:12,0,184,406,11,0,12.08%,2.02%,143.56%,443.6MiB,995,1024,965,19,142,86419
1789811969,2026-09-19T09:59:33Z,314,baseline,230437,191921,1082,900,70.0,up,4709,12245.6,1082,2080.8,1.923,8974,90952,2,0,4355,74.3,28742,4709,21,09:03:12,0,184,406,11,0,0.22%,0.35%,199.78%,445MiB,994,1024,965,19,142,86469
1789812033,2026-09-19T10:00:36Z,378,baseline,231509,192821,1072,900,71.1,up,5781,14290.2,1072,2044.6,1.907,10987,93477,2,0,4355,81.6,28742,5781,21,09:03:12,0,184,406,11,0,0.58%,0.02%,201.09%,446.4MiB,994,1024,965,19,142,86509
1789812096,2026-09-19T10:01:39Z,441,baseline,232579,193721,1070,900,70.0,up,6851,16331.1,1070,2040.9,1.907,12999,96000,2,0,4355,89.1,28742,6851,21,09:03:12,0,184,406,11,0,0.64%,0.01%,201.84%,447.4MiB,993,1024,964,19,142,86551
1789812160,2026-09-19T10:02:43Z,505,watch,233649,194621,1070,900,71.1,up,7921,18372.4,1070,2041.3,1.908,15011,98547,2,0,4355,95.2,28742,7921,21,09:03:12,0,184,406,11,0,0.23%,0.02%,200.07%,448.8MiB,993,1024,964,19,142,86585
1789812223,2026-09-19T10:03:47Z,568,watch,234719,195521,1070,900,70.0,up,8991,20422.6,1070,2050.2,1.916,17022,101096,3,0,4424,103.3,28742,8991,21,09:03:12,0,184,406,11,0,0.20%,0.02%,199.27%,449.8MiB,993,1024,963,19,142,86630
1789812287,2026-09-19T10:04:50Z,632,watch,235798,196421,1079,900,71.1,up,10070,22475.7,1079,2053.1,1.903,19043,103642,3,0,4424,111.7,28742,10070,21,09:03:12,0,184,406,11,0,0.54%,0.02%,199.92%,450.5MiB,993,1024,963,19,142,86677
1789812350,2026-09-19T10:05:53Z,695,watch,236883,197321,1085,900,70.0,up,11155,24538.5,1085,2062.8,1.901,21070,106267,3,0,4424,119.9,28742,11155,21,09:03:12,0,184,407,11,0,3.75%,0.39%,200.89%,451.2MiB,993,1024,963,19,142,86723
1789812414,2026-09-19T10:06:57Z,759,watch,237945,198221,1062,900,71.1,up,12217,26589.8,1062,2051.3,1.932,23073,108829,3,0,4424,126.3,28742,12217,21,09:03:12,0,184,407,11,0,0.25%,3.90%,192.50%,451.9MiB,993,1024,964,19,142,86759
1789812477,2026-09-19T10:08:00Z,822,watch,239021,199121,1076,900,70.0,up,13293,28633.7,1076,2043.9,1.900,25090,111399,3,0,4424,133.0,28742,13293,21,09:03:12,0,184,407,11,0,0.57%,0.02%,199.13%,452.6MiB,992,1024,963,19,142,86785
1789812540,2026-09-19T10:09:04Z,885,watch,240099,200021,1078,900,70.0,up,14371,30812.8,1078,2179.1,2.021,27581,114178,4,0,4463,143.7,28742,14371,21,09:03:12,0,184,407,11,0,83.75%,15.40%,0.21%,458.5MiB,1014,1024,985,19,142,86794
1789812604,2026-09-19T10:10:07Z,949,watch,240099,200021,0,0,,up,14371,30812.8,0,0.0,,218799,119905,4,0,4463,143.7,28742,14371,21,09:03:12,0,184,407,11,0,0.18%,0.02%,0.16%,461.1MiB,992,1024,963,19,143,89238
