dockin-app-1  | 2026-09-19T14:43:53.529+09:00 ERROR [6e052af2e2b24808] 1 --- [DOCKin-spring] [o-8080-exec-239] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:53.914+09:00 ERROR [d61746bbfcf342a5] 1 --- [DOCKin-spring] [o-8080-exec-326] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:53.915+09:00 ERROR [7349634d50274b48] 1 --- [DOCKin-spring] [o-8080-exec-269] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:53.913+09:00 ERROR [ebbd3b158cea4a82] 1 --- [DOCKin-spring] [o-8080-exec-211] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:53.919+09:00 ERROR [acb2f76dd9d0499c] 1 --- [DOCKin-spring] [o-8080-exec-341] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:54.062+09:00 ERROR [54dd6d16cc46425a] 1 --- [DOCKin-spring] [o-8080-exec-215] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:54.456+09:00 ERROR [dcb0b4f12940441e] 1 --- [DOCKin-spring] [io-8080-exec-16] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:54.456+09:00 ERROR [38274cdb22c141d1] 1 --- [DOCKin-spring] [o-8080-exec-336] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:54.456+09:00 ERROR [502bb4e83bf34485] 1 --- [DOCKin-spring] [o-8080-exec-217] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:54.856+09:00 ERROR [756a79a4855a41ff] 1 --- [DOCKin-spring] [o-8080-exec-269] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:54.859+09:00 ERROR [613daf816a2f409c] 1 --- [DOCKin-spring] [o-8080-exec-295] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:54.863+09:00 ERROR [475889b513414731] 1 --- [DOCKin-spring] [o-8080-exec-218] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:55.257+09:00 ERROR [a820e3616a5f4fed] 1 --- [DOCKin-spring] [o-8080-exec-385] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:55.260+09:00 ERROR [18a35a10d55b47b0] 1 --- [DOCKin-spring] [o-8080-exec-320] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:55.257+09:00 ERROR [0843bfee5014421f] 1 --- [DOCKin-spring] [o-8080-exec-256] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:55.266+09:00 ERROR [65614d0bdb1647eb] 1 --- [DOCKin-spring] [o-8080-exec-327] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:55.285+09:00  WARN [018d6a8503204c03] 1 --- [DOCKin-spring] [o-8080-exec-331] o.s.b.h.a.e.HealthEndpointSupport        : Health contributor org.springframework.boot.jdbc.health.DataSourceHealthIndicator (db) took 10406ms to respond
dockin-app-1  | 2026-09-19T14:43:55.613+09:00 ERROR [1a49116b220c4ed6] 1 --- [DOCKin-spring] [o-8080-exec-318] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.019+09:00 ERROR [2695692c4c9c4d86] 1 --- [DOCKin-spring] [o-8080-exec-223] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.019+09:00 ERROR [5fb5afc6f1e7437f] 1 --- [DOCKin-spring] [o-8080-exec-335] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.031+09:00 ERROR [38af3053b5494546] 1 --- [DOCKin-spring] [o-8080-exec-201] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.451+09:00 ERROR [266c17488bf743a1] 1 --- [DOCKin-spring] [io-8080-exec-83] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.451+09:00 ERROR [9db0a390cbb649d7] 1 --- [DOCKin-spring] [o-8080-exec-352] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.452+09:00 ERROR [5dfd0bfef1b64ec3] 1 --- [DOCKin-spring] [o-8080-exec-282] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.452+09:00 ERROR [bace5a8c606742f5] 1 --- [DOCKin-spring] [o-8080-exec-322] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.461+09:00 ERROR [ba3a2350dacb4c9a] 1 --- [DOCKin-spring] [o-8080-exec-279] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.869+09:00 ERROR [ba1d582349354083] 1 --- [DOCKin-spring] [o-8080-exec-357] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.869+09:00 ERROR [a71de9668ef84879] 1 --- [DOCKin-spring] [o-8080-exec-312] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.869+09:00 ERROR [c91f421da19f4953] 1 --- [DOCKin-spring] [o-8080-exec-350] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:43:56.869+09:00 ERROR [4f183512ea134942] 1 --- [DOCKin-spring] [o-8080-exec-204] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
