dockin-app-1  | 2026-09-19T14:46:26.974+09:00 ERROR [6f6a652011af4427] 1 --- [DOCKin-spring] [o-8080-exec-280] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:27.395+09:00 ERROR [4b4517f83b83441d] 1 --- [DOCKin-spring] [o-8080-exec-310] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:27.395+09:00 ERROR [31f18dddc58f484c] 1 --- [DOCKin-spring] [o-8080-exec-341] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:27.395+09:00 ERROR [c769c531c59c444d] 1 --- [DOCKin-spring] [o-8080-exec-268] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:27.395+09:00 ERROR [356eec6e700a49ad] 1 --- [DOCKin-spring] [o-8080-exec-358] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:27.783+09:00 ERROR [5e0f6fcc3f8b47bd] 1 --- [DOCKin-spring] [o-8080-exec-326] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.233+09:00 ERROR [fff892c201af4ba1] 1 --- [DOCKin-spring] [o-8080-exec-236] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.233+09:00 ERROR [bf380f4950a64d04] 1 --- [DOCKin-spring] [o-8080-exec-262] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.233+09:00 ERROR [9d10961aec454afb] 1 --- [DOCKin-spring] [o-8080-exec-240] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.233+09:00 ERROR [782c7521512645df] 1 --- [DOCKin-spring] [o-8080-exec-216] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.233+09:00 ERROR [2c7b589d395246cc] 1 --- [DOCKin-spring] [o-8080-exec-237] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.618+09:00 ERROR [4388a3f0b5644b09] 1 --- [DOCKin-spring] [o-8080-exec-246] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.618+09:00 ERROR [2e2cc7be28e64619] 1 --- [DOCKin-spring] [o-8080-exec-229] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.618+09:00 ERROR [60d3ee9b44fc4d11] 1 --- [DOCKin-spring] [o-8080-exec-290] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.992+09:00 ERROR [0395ee90a43b4900] 1 --- [DOCKin-spring] [o-8080-exec-353] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:28.992+09:00 ERROR [3e8cdd937f0340d5] 1 --- [DOCKin-spring] [o-8080-exec-358] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.003+09:00 ERROR [17c39e381d6d4bdc] 1 --- [DOCKin-spring] [o-8080-exec-289] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.395+09:00 ERROR [f9bc4a6ec4b84f51] 1 --- [DOCKin-spring] [o-8080-exec-303] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.391+09:00 ERROR [25f8e1b9e7b64ce0] 1 --- [DOCKin-spring] [o-8080-exec-340] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.391+09:00 ERROR [038e76ecab9341fe] 1 --- [DOCKin-spring] [o-8080-exec-209] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.398+09:00 ERROR [86edfb0352404b54] 1 --- [DOCKin-spring] [o-8080-exec-236] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.448+09:00 ERROR [8196a0d1c86b4779] 1 --- [DOCKin-spring] [o-8080-exec-361] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.750+09:00 ERROR [9e7d7498ae494f82] 1 --- [DOCKin-spring] [o-8080-exec-369] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.750+09:00 ERROR [1a34a81c56bd40ed] 1 --- [DOCKin-spring] [o-8080-exec-213] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.753+09:00 ERROR [0ea5e839083d4d50] 1 --- [DOCKin-spring] [o-8080-exec-348] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:29.751+09:00 ERROR [957e7c3a0ed04771] 1 --- [DOCKin-spring] [o-8080-exec-333] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:30.524+09:00 ERROR [a8d999a5b5a44d56] 1 --- [DOCKin-spring] [o-8080-exec-243] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:30.524+09:00 ERROR [be222f5603da4dc5] 1 --- [DOCKin-spring] [o-8080-exec-350] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:30.525+09:00 ERROR [6609b7fd89f14d3d] 1 --- [DOCKin-spring] [o-8080-exec-209] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:46:30.527+09:00 ERROR [9b7555983648425c] 1 --- [DOCKin-spring] [o-8080-exec-226] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
