dockin-app-1  | 2026-09-19T14:04:11.687+09:00 ERROR [50bc51e4747d4224] 1 --- [DOCKin-spring] [io-8080-exec-75] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:11.770+09:00 ERROR [4b3f232c30c24318] 1 --- [DOCKin-spring] [o-8080-exec-132] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:11.858+09:00 ERROR [54ca16deed7b4c70] 1 --- [DOCKin-spring] [o-8080-exec-323] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:11.861+09:00 ERROR [f3a04e375ecd4d45] 1 --- [DOCKin-spring] [o-8080-exec-283] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:12.278+09:00 ERROR [e455129d1b6249b4] 1 --- [DOCKin-spring] [o-8080-exec-261] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:12.279+09:00 ERROR [b34ebb167c514013] 1 --- [DOCKin-spring] [o-8080-exec-335] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:12.664+09:00 ERROR [54793f6c09504e7e] 1 --- [DOCKin-spring] [o-8080-exec-358] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:12.757+09:00 ERROR [ff750431fd6f4364] 1 --- [DOCKin-spring] [o-8080-exec-351] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:12.762+09:00 ERROR [b617c8364a9246cf] 1 --- [DOCKin-spring] [o-8080-exec-222] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:13.287+09:00 ERROR [61118d2ca6ee401c] 1 --- [DOCKin-spring] [o-8080-exec-369] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:13.287+09:00 ERROR [7f42581b3ee84c98] 1 --- [DOCKin-spring] [o-8080-exec-221] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:13.287+09:00 ERROR [60a47c97e8f442d1] 1 --- [DOCKin-spring] [o-8080-exec-215] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:13.458+09:00 ERROR [80f4631e916e4549] 1 --- [DOCKin-spring] [o-8080-exec-330] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:13.458+09:00 ERROR [b201f10fbf414d0c] 1 --- [DOCKin-spring] [o-8080-exec-284] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:14.312+09:00 ERROR [9d3477ee85bb4bba] 1 --- [DOCKin-spring] [o-8080-exec-306] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:14.312+09:00 ERROR [4d2e878edc4047a4] 1 --- [DOCKin-spring] [o-8080-exec-305] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:14.355+09:00 ERROR [855a074444f24bca] 1 --- [DOCKin-spring] [o-8080-exec-290] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:14.312+09:00 ERROR [c25c77b31dc2445b] 1 --- [DOCKin-spring] [o-8080-exec-407] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:14.375+09:00 ERROR [4d51d4c0ea294a2f] 1 --- [DOCKin-spring] [io-8080-exec-46] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:14.460+09:00 ERROR [0ae8ebd316a54541] 1 --- [DOCKin-spring] [io-8080-exec-31] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:14.907+09:00 ERROR [1985bbc8335447f8] 1 --- [DOCKin-spring] [o-8080-exec-340] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:14.907+09:00 ERROR [28bac46d73e8424c] 1 --- [DOCKin-spring] [o-8080-exec-409] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:15.229+09:00 ERROR [368fc5fe0d994cdd] 1 --- [DOCKin-spring] [o-8080-exec-223] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:15.229+09:00 ERROR [52b9035872d0443c] 1 --- [DOCKin-spring] [o-8080-exec-336] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:15.229+09:00 ERROR [00d5d24c0d704a49] 1 --- [DOCKin-spring] [o-8080-exec-321] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:04:15.359+09:00 ERROR [400470b1ed2246ba] 1 --- [DOCKin-spring] [o-8080-exec-353] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
