dockin-app-1  | 2026-09-19T14:03:49.262+09:00  WARN [60d20ac25f8b47cc] 1 --- [DOCKin-spring] [o-8080-exec-313] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:03:49.262+09:00  WARN [60d20ac25f8b47cc] 1 --- [DOCKin-spring] [o-8080-exec-313] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)
dockin-app-1  | 2026-09-19T14:03:49.262+09:00 ERROR [60d20ac25f8b47cc] 1 --- [DOCKin-spring] [o-8080-exec-313] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)] [n/a]
dockin-app-1  | 2026-09-19T14:03:49.461+09:00  WARN [a6e822812c6540a9] 1 --- [DOCKin-spring] [o-8080-exec-314] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:03:49.462+09:00  WARN [a6e822812c6540a9] 1 --- [DOCKin-spring] [o-8080-exec-314] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)
dockin-app-1  | 2026-09-19T14:03:49.462+09:00 ERROR [a6e822812c6540a9] 1 --- [DOCKin-spring] [o-8080-exec-314] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)] [n/a]
dockin-app-1  | 2026-09-19T14:03:49.759+09:00  WARN [035b1bb37a764409] 1 --- [DOCKin-spring] [o-8080-exec-320] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:03:49.759+09:00  WARN [035b1bb37a764409] 1 --- [DOCKin-spring] [o-8080-exec-320] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)
dockin-app-1  | 2026-09-19T14:03:49.759+09:00 ERROR [035b1bb37a764409] 1 --- [DOCKin-spring] [o-8080-exec-320] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)] [n/a]
dockin-app-1  | 2026-09-19T14:03:50.061+09:00  WARN [c652f2f1b7714e36] 1 --- [DOCKin-spring] [o-8080-exec-325] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:03:50.061+09:00  WARN [c652f2f1b7714e36] 1 --- [DOCKin-spring] [o-8080-exec-325] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)
