dockin-app-1  | 2026-09-19T13:36:58.765+09:00 ERROR [87acff1677604360] 1 --- [DOCKin-spring] [o-8080-exec-124] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:36:59.158+09:00 ERROR [d5e266c96e3b4804] 1 --- [DOCKin-spring] [io-8080-exec-32] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:36:59.163+09:00 ERROR [898d091fa0624854] 1 --- [DOCKin-spring] [nio-8080-exec-1] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:36:59.257+09:00 ERROR [4303ca4ab1354d0d] 1 --- [DOCKin-spring] [io-8080-exec-43] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:36:59.261+09:00 ERROR [a7f941a34f4d4512] 1 --- [DOCKin-spring] [io-8080-exec-25] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:36:59.263+09:00 ERROR [45db857f54054899] 1 --- [DOCKin-spring] [io-8080-exec-20] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:36:59.646+09:00 ERROR [d507c5b9d4a547f6] 1 --- [DOCKin-spring] [o-8080-exec-193] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:36:59.649+09:00 ERROR [86b14b368d2542ba] 1 --- [DOCKin-spring] [o-8080-exec-147] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:00.585+09:00 ERROR [ee04c1f08e9348fa] 1 --- [DOCKin-spring] [io-8080-exec-71] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:00.587+09:00 ERROR [17f84888e23a470a] 1 --- [DOCKin-spring] [io-8080-exec-85] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:00.654+09:00 ERROR [6f3e79baf5764ddd] 1 --- [DOCKin-spring] [io-8080-exec-87] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:00.756+09:00 ERROR [99fcc266f54b4ae5] 1 --- [DOCKin-spring] [io-8080-exec-79] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:01.258+09:00 ERROR [5be1cd6b40254962] 1 --- [DOCKin-spring] [o-8080-exec-104] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:01.258+09:00 ERROR [4ed3ac4d29254496] 1 --- [DOCKin-spring] [io-8080-exec-81] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:01.259+09:00 ERROR [a56330f8f94a42a3] 1 --- [DOCKin-spring] [o-8080-exec-200] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:01.261+09:00 ERROR [a04071971b0a4d1e] 1 --- [DOCKin-spring] [io-8080-exec-95] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:01.259+09:00 ERROR [afeea100b4dd4a2c] 1 --- [DOCKin-spring] [o-8080-exec-141] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:01.262+09:00 ERROR [71576a3830b442f7] 1 --- [DOCKin-spring] [o-8080-exec-155] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:01.362+09:00 ERROR [5eb8792b13f14df5] 1 --- [DOCKin-spring] [o-8080-exec-107] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T13:37:01.795+09:00 ERROR [3eaf311810d94aee] 1 --- [DOCKin-spring] [io-8080-exec-42] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
