ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
04:34:30,1.16,99.54,0.72,0.49,0.61,722.5MiB,,193.0,,,,327,1,5,0,11
04:37:07,0.25,0.20,0.02,0.00,0.41,737.5MiB,0.0,0.0,10.0,,,187,1,0,0,11
04:37:15,0.21,0.21,0.00,0.00,0.42,737.5MiB,0.0,0.0,10.0,,,192,1,0,0,11
04:37:23,0.20,0.21,0.00,0.00,0.41,737.5MiB,0.0,0.0,10.0,,,198,1,0,0,11
04:37:31,0.17,0.24,0.01,0.00,2.33,737.5MiB,0.0,0.0,10.0,,,204,1,0,0,11
04:37:38,0.15,0.23,4.30,0.00,0.41,737.5MiB,0.0,0.0,10.0,,,209,1,0,0,11
04:37:46,0.28,3.51,0.01,0.00,0.44,737.5MiB,0.0,0.0,10.0,,,215,1,0,0,11
04:37:54,0.26,0.25,4.35,0.00,0.42,737.5MiB,0.0,0.0,10.0,,,220,1,0,0,11
04:38:02,0.22,0.33,0.00,0.00,0.41,720.3MiB,0.0,0.0,10.0,,,229,1,0,0,11
04:38:10,0.33,0.23,4.32,0.00,0.41,720.4MiB,0.0,0.0,10.0,,,234,1,0,0,11
04:38:17,0.31,2.67,0.00,0.00,0.41,720.3MiB,0.0,0.0,10.0,,,239,1,0,0,11
04:38:25,0.33,0.25,0.00,0.00,0.38,720.2MiB,0.0,0.0,10.0,,,244,1,0,0,11
04:38:33,0.31,0.28,0.00,0.00,0.43,720.2MiB,0.0,0.0,10.0,,,250,1,0,0,11
04:38:41,0.26,0.26,0.00,0.00,2.33,720.3MiB,0.0,0.0,10.0,,,255,1,0,0,11
04:38:49,0.24,0.32,0.00,0.00,0.41,720.3MiB,0.0,0.0,10.0,,,260,1,0,0,11
04:38:57,0.20,3.09,0.02,0.00,0.45,720.3MiB,0.0,0.0,10.0,,,166,1,0,0,11
04:39:04,0.18,0.22,0.00,0.00,0.41,720.3MiB,0.0,0.0,10.0,,,171,1,0,0,11
04:39:12,0.24,0.26,0.00,0.00,0.41,720.3MiB,0.0,0.0,10.0,,,177,1,0,0,11
04:39:20,0.20,0.23,0.00,0.00,0.42,720.4MiB,0.0,0.0,10.0,,,183,1,0,0,11
04:39:28,0.18,2.59,0.00,0.00,0.41,720.4MiB,0.0,0.0,10.0,,,189,1,0,0,11
04:39:36,0.15,0.25,0.00,0.00,0.42,720.4MiB,0.0,0.0,10.0,,,194,1,0,0,11
04:39:43,0.14,0.25,0.00,0.00,0.41,720.4MiB,0.0,0.0,10.0,,,200,1,0,0,11
04:39:51,0.12,0.25,4.33,0.00,0.41,720.4MiB,0.0,0.0,10.0,,,205,1,0,0,11
04:39:59,0.11,0.25,0.01,0.00,0.42,720.4MiB,0.0,0.0,10.0,,,210,1,0,0,11
04:40:07,0.09,0.23,0.00,0.00,0.41,720.4MiB,0.0,0.0,10.0,,,215,1,0,0,11
04:40:15,0.08,0.26,0.00,0.00,0.42,720.4MiB,0.0,0.0,10.0,,,221,1,0,0,11
04:40:22,0.07,0.22,0.00,0.00,2.48,720.4MiB,0.0,0.0,10.0,,,226,1,0,0,11
04:40:30,0.06,0.28,0.00,0.00,0.42,720.4MiB,0.0,0.0,10.0,,,232,1,0,0,11
04:40:38,0.06,3.35,4.38,0.00,0.42,720.5MiB,0.0,0.0,10.0,,,237,1,0,0,11
04:40:46,0.05,0.28,0.00,0.00,0.41,720.4MiB,0.0,0.0,10.0,,,242,1,0,0,11
04:40:54,0.04,0.24,4.38,0.00,0.41,720.4MiB,0.0,0.0,10.0,,,247,1,0,0,11
04:41:01,0.04,0.27,0.00,0.00,0.41,720.4MiB,0.0,0.0,10.0,,,252,1,0,0,11
04:41:09,0.03,2.50,0.01,0.00,0.41,720.5MiB,0.0,0.0,10.0,,,257,1,0,0,11
04:41:17,0.03,0.24,0.33,0.00,0.42,720.5MiB,0.0,0.0,10.0,,,263,1,0,0,11
04:41:25,0.02,0.28,4.36,0.00,0.42,720.5MiB,0.0,0.0,10.0,,,268,1,0,0,11
04:41:33,0.10,0.23,0.01,0.00,2.33,720.5MiB,0.0,0.0,10.0,,,167,1,0,0,11
04:41:40,0.16,0.22,0.01,0.00,0.41,720.5MiB,0.0,0.0,10.0,,,172,1,0,0,11
04:41:48,0.15,0.22,0.03,0.00,0.42,720.5MiB,0.0,0.0,10.0,,,178,1,0,0,11
04:41:56,0.12,0.31,0.00,0.00,0.41,720.5MiB,0.0,0.0,10.0,,,183,1,0,0,11
04:42:04,0.27,0.29,4.31,0.00,0.44,720.5MiB,0.0,0.0,10.0,,,188,1,0,0,11
04:42:12,0.23,0.30,0.00,0.00,0.42,720.6MiB,0.0,0.0,10.0,,,194,1,0,0,11
04:42:19,0.21,0.24,4.36,0.00,0.41,720.6MiB,0.0,0.0,10.0,,,199,1,0,0,11
04:42:27,0.18,0.25,0.00,0.00,0.41,720.6MiB,0.0,0.0,10.0,,,204,1,0,0,11
04:42:35,0.16,0.27,4.40,0.00,0.41,720.6MiB,0.0,0.0,10.0,,,209,1,0,0,11
04:42:43,0.14,0.23,0.00,0.00,0.42,720.6MiB,0.0,0.0,10.0,,,214,1,0,0,11
04:42:51,0.34,0.22,4.38,0.00,0.41,720.6MiB,0.0,0.0,10.0,,,219,1,0,0,11
04:42:58,0.31,0.24,0.00,0.00,0.41,720.6MiB,0.0,0.0,10.0,,,224,1,0,0,11
04:43:06,0.26,0.25,0.00,0.00,0.42,720.6MiB,0.0,0.0,10.0,,,229,1,0,0,11
04:43:14,0.24,0.23,0.00,0.00,2.18,720.6MiB,0.0,0.0,10.0,,,234,1,0,0,11
04:43:22,0.20,0.27,4.34,0.00,0.42,720.6MiB,0.0,0.0,10.0,,,239,1,0,0,11
04:43:29,0.19,2.63,0.00,0.00,0.44,720.7MiB,0.0,0.0,10.0,,,245,1,0,0,11
04:43:37,0.16,0.23,4.69,0.00,0.41,720.6MiB,0.0,0.0,10.0,,,249,1,0,0,11
04:43:45,0.15,4.74,0.00,0.00,0.41,720.7MiB,0.0,0.0,10.0,,,255,1,0,0,11
04:43:53,0.12,0.22,4.40,0.00,0.41,720.7MiB,0.0,0.0,10.0,,,260,1,0,0,11
04:44:01,0.10,0.23,0.00,0.00,0.42,720.8MiB,0.0,0.0,10.0,,,265,1,0,0,11
04:44:08,0.10,0.25,4.37,0.00,0.41,720.7MiB,0.0,0.0,10.0,,,163,1,0,0,11
04:44:16,0.08,0.23,0.00,0.00,0.41,720.7MiB,0.0,0.0,10.0,,,168,1,0,0,11
