ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
05:54:04,3.26,0.24,0.02,0.00,0.41,758.6MiB,0.0,0.0,10.0,,,156,2,0,0,11
05:54:12,3.00,17.53,13.33,0.16,0.51,758.6MiB,0.0,0.0,10.0,,,128,1,0,0,11
05:54:20,2.53,13.63,8.91,0.15,0.50,758.7MiB,0.0,0.0,10.0,,,202,1,0,0,11
05:54:28,2.33,53.25,41.00,0.55,0.73,759.2MiB,1.0,0.0,9.0,,,131,1,1,0,11
05:54:35,2.13,130.17,94.14,1.36,1.04,760.3MiB,2.0,0.0,8.0,,,201,1,1,0,11
05:54:43,2.12,129.42,88.75,1.32,1.13,760.8MiB,2.0,0.0,8.0,,,191,1,2,0,11
05:54:51,2.03,181.32,91.86,1.39,1.13,761.3MiB,2.0,0.0,8.0,,,270,2,1,0,11
05:54:59,2.11,128.28,96.08,1.27,3.32,761.6MiB,2.0,0.0,8.0,,,277,1,2,0,11
05:55:06,2.09,97.55,82.30,1.17,0.96,761.8MiB,2.0,0.0,8.0,,,244,1,1,0,11
05:55:14,1.92,13.01,22.28,0.14,0.50,762MiB,1.0,0.0,9.0,,,294,1,0,0,11
05:55:22,1.85,15.33,8.84,0.15,0.51,761.9MiB,0.0,0.0,10.0,,,245,1,1,0,11
05:55:30,2.04,12.61,9.78,0.13,0.50,762.3MiB,0.0,0.0,10.0,,,315,1,0,0,11
05:55:38,1.95,12.81,8.95,0.14,0.48,762MiB,0.0,0.0,10.0,,,283,1,0,0,11
05:55:45,1.73,12.13,8.97,0.15,0.49,762MiB,0.0,0.0,10.0,,,280,1,0,0,11
05:55:53,1.83,12.70,9.11,0.14,0.49,762.1MiB,0.0,0.0,10.0,,,345,1,0,0,11
