ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
05:07:09,0.88,50.45,16.41,0.30,2.49,490.8MiB,1.0,0.0,9.0,,,169,1,2,0,11
05:07:16,0.89,172.43,89.09,1.40,1.09,568.7MiB,2.0,0.0,8.0,,,195,1,1,0,11
05:07:24,1.29,136.07,77.08,1.23,1.06,570.3MiB,2.0,0.0,8.0,,,172,1,2,0,11
05:07:32,1.42,118.58,60.89,0.97,0.89,571.1MiB,2.0,0.0,8.0,,,131,1,1,0,11
05:07:40,1.66,120.64,74.60,1.29,1.04,572.2MiB,0.0,0.0,10.0,,,172,2,0,0,11
05:07:48,1.61,121.10,73.76,1.22,0.98,572.6MiB,1.0,0.0,9.0,,,168,1,0,0,11
05:07:55,1.59,160.94,83.77,1.24,1.01,572.8MiB,2.0,0.0,8.0,,,163,2,0,0,11
05:08:03,1.54,130.63,70.64,1.25,0.98,572.8MiB,2.0,0.0,8.0,,,181,1,1,0,11
05:08:11,1.53,110.14,75.80,1.23,0.98,573.1MiB,1.0,0.0,9.0,,,205,1,2,0,11
05:08:19,1.76,163.10,74.25,1.10,3.34,573.3MiB,1.0,0.0,9.0,,,176,2,1,0,11
05:08:26,1.70,104.71,72.86,1.20,0.97,573.8MiB,1.0,0.0,9.0,,,235,2,0,0,11
05:08:34,1.91,135.61,77.90,1.07,0.95,573.7MiB,2.0,0.0,8.0,,,156,1,1,0,11
