dockin-app-1  | 2026-09-19T14:10:42.822+09:00 ERROR [263e893877bb42d9] 1 --- [DOCKin-spring] [io-8080-exec-16] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:10:42.819+09:00  WARN [e3d290d104ac4b5c] 1 --- [DOCKin-spring] [o-8080-exec-140] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:10:42.826+09:00  WARN [e3d290d104ac4b5c] 1 --- [DOCKin-spring] [o-8080-exec-140] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30081ms (total=10, active=10, idle=0, waiting=188)
dockin-app-1  | 2026-09-19T14:10:42.826+09:00 ERROR [e3d290d104ac4b5c] 1 --- [DOCKin-spring] [o-8080-exec-140] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30081ms (total=10, active=10, idle=0, waiting=188)] [n/a]
dockin-app-1  | 2026-09-19T14:10:42.819+09:00  WARN [4d28586de7aa4bc4] 1 --- [DOCKin-spring] [o-8080-exec-147] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:10:42.827+09:00  WARN [4d28586de7aa4bc4] 1 --- [DOCKin-spring] [o-8080-exec-147] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30068ms (total=10, active=10, idle=0, waiting=187)
dockin-app-1  | 2026-09-19T14:10:42.827+09:00  WARN [238f6201db344084] 1 --- [DOCKin-spring] [io-8080-exec-66] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:10:42.827+09:00  WARN [238f6201db344084] 1 --- [DOCKin-spring] [io-8080-exec-66] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=183)
dockin-app-1  | 2026-09-19T14:10:42.827+09:00 ERROR [78ee523e6f574b66] 1 --- [DOCKin-spring] [o-8080-exec-145] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30069ms (total=10, active=10, idle=0, waiting=184)] [n/a]
dockin-app-1  | 2026-09-19T14:10:42.828+09:00  WARN [6ae5dbc2be92412a] 1 --- [DOCKin-spring] [io-8080-exec-20] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:10:42.828+09:00  WARN [6ae5dbc2be92412a] 1 --- [DOCKin-spring] [io-8080-exec-20] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=184)
dockin-app-1  | 2026-09-19T14:10:42.828+09:00 ERROR [6ae5dbc2be92412a] 1 --- [DOCKin-spring] [io-8080-exec-20] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=184)] [n/a]
dockin-app-1  | 2026-09-19T14:10:42.818+09:00 ERROR [bfd0b701c19a4990] 1 --- [DOCKin-spring] [io-8080-exec-56] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:10:42.829+09:00  WARN [cd27a07605874a98] 1 --- [DOCKin-spring] [io-8080-exec-25] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:10:42.829+09:00  WARN [cd27a07605874a98] 1 --- [DOCKin-spring] [io-8080-exec-25] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=187)
dockin-app-1  | 2026-09-19T14:10:42.827+09:00 ERROR [238f6201db344084] 1 --- [DOCKin-spring] [io-8080-exec-66] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:10:42.830+09:00 ERROR [cd27a07605874a98] 1 --- [DOCKin-spring] [io-8080-exec-25] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:10:42.831+09:00  WARN [77b462c452c24e3b] 1 --- [DOCKin-spring] [io-8080-exec-90] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:10:42.831+09:00  WARN [77b462c452c24e3b] 1 --- [DOCKin-spring] [io-8080-exec-90] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=186)
dockin-app-1  | 2026-09-19T14:10:42.819+09:00  WARN [8b90d7bf420a4892] 1 --- [DOCKin-spring] [io-8080-exec-23] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:10:42.832+09:00  WARN [8b90d7bf420a4892] 1 --- [DOCKin-spring] [io-8080-exec-23] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30066ms (total=10, active=10, idle=0, waiting=186)
dockin-app-1  | 2026-09-19T14:10:42.819+09:00  WARN [54e211f330ed4fc4] 1 --- [DOCKin-spring] [io-8080-exec-46] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:10:42.832+09:00  WARN [54e211f330ed4fc4] 1 --- [DOCKin-spring] [io-8080-exec-46] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30066ms (total=10, active=10, idle=0, waiting=185)
dockin-app-1  | 2026-09-19T14:10:42.833+09:00 ERROR [54e211f330ed4fc4] 1 --- [DOCKin-spring] [io-8080-exec-46] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30066ms (total=10, active=10, idle=0, waiting=185)] [n/a]
dockin-app-1  | 2026-09-19T14:10:42.828+09:00 ERROR [4d28586de7aa4bc4] 1 --- [DOCKin-spring] [o-8080-exec-147] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:10:42.833+09:00 ERROR [8b90d7bf420a4892] 1 --- [DOCKin-spring] [io-8080-exec-23] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:10:42.833+09:00 ERROR [77b462c452c24e3b] 1 --- [DOCKin-spring] [io-8080-exec-90] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:10:42.878+09:00 ERROR [048583846a4b4450] 1 --- [DOCKin-spring] [io-8080-exec-82] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:10:46.544+09:00  WARN [] 1 --- [DOCKin-spring] [MessageBroker-2] c.DOCKin.global.config.HikariPoolWatch   : HikariPool 대기 pending=191 active=9 idle=1 total=10 max=10 — 풀 고갈이면 '누가 잡고 있나'부터 (ADR-0008 7-1)
dockin-app-1  | 2026-09-19T14:10:56.850+09:00  WARN [] 1 --- [DOCKin-spring] [MessageBroker-7] c.DOCKin.global.config.HikariPoolWatch   : HikariPool 대기 pending=67 active=10 idle=0 total=10 max=10 — 풀 고갈이면 '누가 잡고 있나'부터 (ADR-0008 7-1)
