dockin-app-1  | 2026-09-19T14:13:09.901+09:00  WARN [ffb1e6d21c3e4bba] 1 --- [DOCKin-spring] [io-8080-exec-31] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=197)
dockin-app-1  | 2026-09-19T14:13:09.901+09:00  WARN [9f68fcc30be84c65] 1 --- [DOCKin-spring] [o-8080-exec-106] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)
dockin-app-1  | 2026-09-19T14:13:09.901+09:00  WARN [9a914cdcedc84a75] 1 --- [DOCKin-spring] [o-8080-exec-105] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=198)
dockin-app-1  | 2026-09-19T14:13:09.902+09:00  WARN [14de686e1910494f] 1 --- [DOCKin-spring] [o-8080-exec-159] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:13:09.902+09:00  WARN [14de686e1910494f] 1 --- [DOCKin-spring] [o-8080-exec-159] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=196)
dockin-app-1  | 2026-09-19T14:13:09.902+09:00  WARN [467ed0b1981d4b4b] 1 --- [DOCKin-spring] [io-8080-exec-26] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:13:09.902+09:00  WARN [467ed0b1981d4b4b] 1 --- [DOCKin-spring] [io-8080-exec-26] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=194)
dockin-app-1  | 2026-09-19T14:13:09.902+09:00  WARN [1944ec900f54426e] 1 --- [DOCKin-spring] [o-8080-exec-164] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:13:09.902+09:00  WARN [1944ec900f54426e] 1 --- [DOCKin-spring] [o-8080-exec-164] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=194)
dockin-app-1  | 2026-09-19T14:13:09.903+09:00  WARN [04e0d688476748e3] 1 --- [DOCKin-spring] [o-8080-exec-160] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:13:09.903+09:00  WARN [04e0d688476748e3] 1 --- [DOCKin-spring] [o-8080-exec-160] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=193)
dockin-app-1  | 2026-09-19T14:13:09.903+09:00 ERROR [04e0d688476748e3] 1 --- [DOCKin-spring] [o-8080-exec-160] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=193)] [n/a]
dockin-app-1  | 2026-09-19T14:13:09.901+09:00 ERROR [9f68fcc30be84c65] 1 --- [DOCKin-spring] [o-8080-exec-106] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:13:09.903+09:00  WARN [f982856ec6aa4910] 1 --- [DOCKin-spring] [io-8080-exec-96] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:13:09.903+09:00  WARN [f982856ec6aa4910] 1 --- [DOCKin-spring] [io-8080-exec-96] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=192)
dockin-app-1  | 2026-09-19T14:13:09.901+09:00 ERROR [9a914cdcedc84a75] 1 --- [DOCKin-spring] [o-8080-exec-105] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:13:09.901+09:00 ERROR [ffb1e6d21c3e4bba] 1 --- [DOCKin-spring] [io-8080-exec-31] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:13:09.903+09:00 ERROR [14de686e1910494f] 1 --- [DOCKin-spring] [o-8080-exec-159] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:13:09.903+09:00 ERROR [1944ec900f54426e] 1 --- [DOCKin-spring] [o-8080-exec-164] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:13:09.903+09:00 ERROR [467ed0b1981d4b4b] 1 --- [DOCKin-spring] [io-8080-exec-26] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:13:09.904+09:00 ERROR [f982856ec6aa4910] 1 --- [DOCKin-spring] [io-8080-exec-96] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:13:16.853+09:00  WARN [] 1 --- [DOCKin-spring] [MessageBroker-2] c.DOCKin.global.config.HikariPoolWatch   : HikariPool 대기 pending=200 active=10 idle=0 total=10 max=10 — 풀 고갈이면 '누가 잡고 있나'부터 (ADR-0008 7-1)
dockin-app-1  | 2026-09-19T14:13:26.853+09:00  WARN [] 1 --- [DOCKin-spring] [MessageBroker-3] c.DOCKin.global.config.HikariPoolWatch   : HikariPool 대기 pending=200 active=10 idle=0 total=10 max=10 — 풀 고갈이면 '누가 잡고 있나'부터 (ADR-0008 7-1)
dockin-app-1  | 2026-09-19T14:13:36.853+09:00  WARN [] 1 --- [DOCKin-spring] [MessageBroker-8] c.DOCKin.global.config.HikariPoolWatch   : HikariPool 대기 pending=200 active=10 idle=0 total=10 max=10 — 풀 고갈이면 '누가 잡고 있나'부터 (ADR-0008 7-1)
dockin-app-1  | 2026-09-19T14:13:38.519+09:00  WARN [2537bf990cb84d63] 1 --- [DOCKin-spring] [o-8080-exec-109] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:13:38.519+09:00  WARN [2537bf990cb84d63] 1 --- [DOCKin-spring] [o-8080-exec-109] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)
dockin-app-1  | 2026-09-19T14:13:38.519+09:00 ERROR [2537bf990cb84d63] 1 --- [DOCKin-spring] [o-8080-exec-109] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)] [n/a]
dockin-app-1  | 2026-09-19T14:13:39.201+09:00  WARN [cf5d00ae25974d91] 1 --- [DOCKin-spring] [nio-8080-exec-9] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:13:39.201+09:00  WARN [cf5d00ae25974d91] 1 --- [DOCKin-spring] [nio-8080-exec-9] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)
dockin-app-1  | 2026-09-19T14:13:39.201+09:00 ERROR [cf5d00ae25974d91] 1 --- [DOCKin-spring] [nio-8080-exec-9] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=199)] [n/a]
