dockin-app-1  | 2026-09-19T14:16:11.169+09:00  WARN [15f29094285b41be] 1 --- [DOCKin-spring] [o-8080-exec-180] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=192)
dockin-app-1  | 2026-09-19T14:16:11.168+09:00 ERROR [6d3b92492fc64726] 1 --- [DOCKin-spring] [nio-8080-exec-2] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:16:11.170+09:00 ERROR [15f29094285b41be] 1 --- [DOCKin-spring] [o-8080-exec-180] c.D.global.security.jwt.JwtAuthFilter    : JWT 인증 에러: Unable to acquire JDBC Connection [HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=192)] [n/a]
dockin-app-1  | 2026-09-19T14:16:11.170+09:00  WARN [a23a27c1b6324020] 1 --- [DOCKin-spring] [o-8080-exec-112] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:16:11.170+09:00  WARN [a23a27c1b6324020] 1 --- [DOCKin-spring] [o-8080-exec-112] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=191)
dockin-app-1  | 2026-09-19T14:16:11.171+09:00  WARN [3e9505920e5b467b] 1 --- [DOCKin-spring] [io-8080-exec-36] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:16:11.171+09:00  WARN [3e9505920e5b467b] 1 --- [DOCKin-spring] [io-8080-exec-36] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=190)
dockin-app-1  | 2026-09-19T14:16:11.171+09:00  WARN [c5feab64d8d04a73] 1 --- [DOCKin-spring] [io-8080-exec-80] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:16:11.171+09:00  WARN [c5feab64d8d04a73] 1 --- [DOCKin-spring] [io-8080-exec-80] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=189)
dockin-app-1  | 2026-09-19T14:16:11.171+09:00  WARN [baf9023ace4f4920] 1 --- [DOCKin-spring] [io-8080-exec-29] org.hibernate.orm.jdbc.error             : HHH000247: ErrorCode: 0, SQLState: null
dockin-app-1  | 2026-09-19T14:16:11.171+09:00  WARN [baf9023ace4f4920] 1 --- [DOCKin-spring] [io-8080-exec-29] org.hibernate.orm.jdbc.error             : HikariPool-1 - Connection is not available, request timed out after 30000ms (total=10, active=10, idle=0, waiting=189)
