dockin-app-1  | 2026-09-19T15:00:16.383+09:00 ERROR [fdd3b4d171b34b63] 1 --- [DOCKin-spring] [o-8080-exec-195] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:16.382+09:00 ERROR [34e36c591b0448a8] 1 --- [DOCKin-spring] [io-8080-exec-17] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:16.384+09:00 ERROR [11e485a38c084a7d] 1 --- [DOCKin-spring] [io-8080-exec-68] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:16.382+09:00 ERROR [1518f64467ff4e38] 1 --- [DOCKin-spring] [io-8080-exec-56] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:16.386+09:00 ERROR [dae38e0119414469] 1 --- [DOCKin-spring] [io-8080-exec-91] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:16.737+09:00 ERROR [7f5eb2f7632b4407] 1 --- [DOCKin-spring] [o-8080-exec-135] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:16.737+09:00 ERROR [b564dcfcf68d4f5c] 1 --- [DOCKin-spring] [o-8080-exec-167] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:16.737+09:00 ERROR [3e13da9ba20a4b6f] 1 --- [DOCKin-spring] [o-8080-exec-192] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:17.160+09:00 ERROR [4a18e23b1ffc4279] 1 --- [DOCKin-spring] [io-8080-exec-66] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:17.162+09:00 ERROR [f8cc67d57b604ede] 1 --- [DOCKin-spring] [io-8080-exec-53] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:17.537+09:00 ERROR [9392c2fd6e4d4efd] 1 --- [DOCKin-spring] [io-8080-exec-45] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:17.537+09:00 ERROR [81bfeefb68744a30] 1 --- [DOCKin-spring] [io-8080-exec-99] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:17.538+09:00 ERROR [343fe248dd524f48] 1 --- [DOCKin-spring] [io-8080-exec-95] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:17.539+09:00 ERROR [2e9f07c747f3404c] 1 --- [DOCKin-spring] [io-8080-exec-69] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:17.540+09:00 ERROR [5b21410036d04437] 1 --- [DOCKin-spring] [io-8080-exec-25] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:17.540+09:00 ERROR [cbcdbf3811af4c68] 1 --- [DOCKin-spring] [o-8080-exec-178] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T15:00:17.591+09:00 ERROR [974d38b542b24b9a] 1 --- [DOCKin-spring] [io-8080-exec-29] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
