dockin-app-1  | 2026-09-19T14:59:45.631+09:00 ERROR [be9a8c31b6444770] 1 --- [DOCKin-spring] [io-8080-exec-97] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:45.633+09:00 ERROR [1445c3991b9d4abc] 1 --- [DOCKin-spring] [o-8080-exec-187] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:45.964+09:00 ERROR [91f1b09cc83b4aa2] 1 --- [DOCKin-spring] [io-8080-exec-91] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:46.385+09:00 ERROR [7e162517e4a045fe] 1 --- [DOCKin-spring] [o-8080-exec-192] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:46.391+09:00 ERROR [414724e9e1144845] 1 --- [DOCKin-spring] [nio-8080-exec-6] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:46.390+09:00 ERROR [eab1ea3fa2c14c60] 1 --- [DOCKin-spring] [io-8080-exec-58] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:46.386+09:00 ERROR [0e36ae7b09e44f30] 1 --- [DOCKin-spring] [io-8080-exec-11] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:46.791+09:00 ERROR [bafe113797664f84] 1 --- [DOCKin-spring] [o-8080-exec-109] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:46.792+09:00 ERROR [edbd3cc125064a22] 1 --- [DOCKin-spring] [o-8080-exec-193] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:46.792+09:00 ERROR [e6d4fd8ca1284762] 1 --- [DOCKin-spring] [io-8080-exec-22] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-19T14:59:46.791+09:00 ERROR [d79638ebb59d477b] 1 --- [DOCKin-spring] [o-8080-exec-103] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
