ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
09:05:09,2.78,183.42,6.29,0.00,1.23,500.2MiB,4.0,0.0,6.0,,,118,1,4,0,11
09:05:17,2.67,390.97,11.96,4.77,2.24,510.1MiB,3.0,0.0,7.0,,,81,1,4,0,11
09:05:24,3.18,395.83,12.41,4.77,4.18,501MiB,3.0,0.0,7.0,,,102,1,3,0,11
09:05:32,3.31,397.47,12.72,4.85,2.25,501.1MiB,4.0,0.0,6.0,,,121,3,4,0,11
09:05:40,3.65,401.59,12.79,4.73,2.20,501.2MiB,4.0,0.0,6.0,,,76,2,3,0,11
09:05:48,3.68,384.68,13.46,4.78,2.18,501.1MiB,4.0,0.0,6.0,,,110,2,4,0,11
09:05:55,3.73,396.23,13.77,5.03,2.30,501.3MiB,5.0,0.0,5.0,,,131,2,3,0,11
09:06:03,4.63,131.76,7.84,25.47,1.18,506.1MiB,0.0,0.0,10.0,,,89,2,8,0,11
09:06:11,4.08,401.55,11.47,25.14,2.07,529.7MiB,0.0,0.0,10.0,,,148,1,5,0,11
09:06:19,3.83,701.27,4.42,22.96,1.13,594.3MiB,0.0,0.0,10.0,,,147,1,8,0,11
09:06:27,4.21,667.61,31.53,14.86,4.66,637.4MiB,9.0,70.0,1.0,,,156,1,0,0,11
09:06:35,5.72,235.00,9.69,26.04,3.56,634.9MiB,10.0,92.0,0.0,,,139,2,4,0,11
