ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
09:24:22,3.73,55.81,6.58,0.75,0.84,665.2MiB,1.0,0.0,9.0,,,161,1,1,0,11
09:24:29,3.60,161.90,9.69,3.64,1.65,665.5MiB,1.0,0.0,9.0,,,206,1,1,0,11
09:24:37,3.28,193.29,20.34,5.79,1.90,665.3MiB,1.0,0.0,9.0,,,187,1,1,0,11
09:24:45,3.09,214.24,21.04,7.19,2.05,665.3MiB,1.0,0.0,9.0,,,212,1,1,0,11
09:24:53,3.00,115.65,22.41,7.63,1.57,665.3MiB,0.0,0.0,10.0,,,167,1,0,0,11
09:25:01,2.76,124.28,23.98,7.75,1.58,665.6MiB,0.0,0.0,10.0,,,221,1,0,0,11
09:25:08,2.33,114.01,23.02,73.08,1.79,665.3MiB,1.0,0.0,9.0,,,164,1,0,0,11
09:25:16,2.15,115.26,22.46,74.22,3.83,665.4MiB,0.0,0.0,10.0,,,150,2,0,0,11
09:25:24,1.82,111.24,23.43,73.12,1.78,665.7MiB,1.0,0.0,9.0,,,207,1,0,0,11
09:25:32,1.68,116.96,24.66,65.50,1.86,665.4MiB,0.0,0.0,10.0,,,180,1,1,0,11
09:25:40,2.03,133.38,24.41,10.92,1.65,665.4MiB,0.0,0.0,10.0,,,192,1,1,0,11
09:25:47,1.86,126.28,23.68,51.89,1.75,665.4MiB,0.0,0.0,10.0,,,171,1,0,0,11
09:25:55,1.80,131.28,23.10,8.34,1.71,665.4MiB,0.0,0.0,10.0,,,184,1,1,0,11
09:26:03,3.15,130.50,22.53,8.15,1.60,665.4MiB,0.0,0.0,10.0,,,221,1,0,0,11
09:26:11,3.46,127.12,22.70,7.93,1.68,665.4MiB,1.0,0.0,9.0,,,158,1,0,0,11
09:26:19,3.53,125.28,25.25,81.69,1.87,665.8MiB,1.0,0.0,9.0,,,209,1,0,0,11
09:26:26,3.41,78.42,15.10,52.04,1.26,665.4MiB,0.0,0.0,10.0,,,179,1,0,0,11
09:26:34,3.20,48.90,10.98,3.04,0.80,665.4MiB,0.0,0.0,10.0,,,159,1,0,0,11
09:26:42,2.86,0.30,0.02,0.00,0.41,665.3MiB,0.0,0.0,10.0,,,166,1,0,0,11
