dockin-app-1  | 2026-09-20T08:52:52.551+09:00  WARN [] 1 --- [DOCKin-spring] [MessageBroker-1] c.DOCKin.global.config.HikariPoolWatch   : HikariPool 대기 pending=73 active=9 idle=1 total=10 max=10 — 풀 고갈이면 '누가 잡고 있나'부터 (ADR-0008 7-1)
dockin-app-1  | 2026-09-20T08:55:16.894+09:00 ERROR [3c6882e009184406] 1 --- [DOCKin-spring] [io-8080-exec-86] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:55:17.061+09:00 ERROR [4e21aeb294ca4f09] 1 --- [DOCKin-spring] [o-8080-exec-193] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:55:17.073+09:00 ERROR [5b1dedfb355e442f] 1 --- [DOCKin-spring] [o-8080-exec-264] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:55:17.179+09:00 ERROR [a7e468f103894f50] 1 --- [DOCKin-spring] [o-8080-exec-256] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:55:41.184+09:00 ERROR [27159f181432488d] 1 --- [DOCKin-spring] [o-8080-exec-200] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:56:45.873+09:00  WARN [c905563923744870] 1 --- [DOCKin-spring] [o-8080-exec-212] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:46.871+09:00  WARN [3041a88f97a64caf] 1 --- [DOCKin-spring] [o-8080-exec-285] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:47.873+09:00  WARN [d7e23846318449c9] 1 --- [DOCKin-spring] [o-8080-exec-136] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:48.872+09:00  WARN [b9f0ff61722649b9] 1 --- [DOCKin-spring] [o-8080-exec-198] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:49.872+09:00  WARN [8502729307d04a30] 1 --- [DOCKin-spring] [o-8080-exec-287] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:50.871+09:00  WARN [77f713d9aa2245ec] 1 --- [DOCKin-spring] [io-8080-exec-23] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:51.871+09:00  WARN [32b7c2efbc074f91] 1 --- [DOCKin-spring] [o-8080-exec-121] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:52.873+09:00  WARN [bb294b9e1cab4a21] 1 --- [DOCKin-spring] [io-8080-exec-46] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:53.871+09:00  WARN [2b1bdc4e692c4fce] 1 --- [DOCKin-spring] [o-8080-exec-252] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:54.872+09:00  WARN [24071aaf8924468c] 1 --- [DOCKin-spring] [io-8080-exec-26] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:56:55.873+09:00  WARN [741a26e44b6343a7] 1 --- [DOCKin-spring] [nio-8080-exec-5] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
