ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
23:35:02,4.24,0.27,1.00,0.39,0.60,561.4MiB,4.0,0.0,6.0,,,126,1,3,0,11
23:35:09,4.22,361.84,17.00,4.42,2.14,561.6MiB,3.0,0.0,7.0,,,148,1,3,0,11
23:35:17,4.27,366.95,12.03,4.30,2.18,561.8MiB,4.0,0.0,6.0,,,103,2,3,0,11
23:35:25,4.49,363.59,12.58,4.20,2.21,561.6MiB,3.0,0.0,7.0,,,118,1,3,0,11
23:35:33,4.65,366.55,12.04,4.30,2.26,561.8MiB,4.0,0.0,6.0,,,142,1,3,0,11
23:35:40,4.60,363.35,11.69,4.20,2.15,561.6MiB,4.0,0.0,6.0,,,104,1,3,0,11
23:35:48,4.73,374.11,12.50,4.55,2.29,561.6MiB,3.0,0.0,7.0,,,138,1,4,0,11
23:35:56,4.86,366.34,12.13,35.76,2.33,561.6MiB,4.0,0.0,6.0,,,93,1,4,0,11
23:36:04,4.79,364.23,12.83,36.97,2.43,561.6MiB,4.0,0.0,6.0,,,122,2,3,0,11
23:36:11,4.51,372.30,12.43,14.33,2.24,562.1MiB,4.0,0.0,6.0,,,144,1,3,0,11
23:36:19,4.79,366.25,16.89,4.58,2.27,561.6MiB,4.0,0.0,6.0,,,98,1,4,0,11
23:36:27,4.52,369.78,12.40,5.44,4.22,561.6MiB,3.0,0.0,7.0,,,124,1,4,0,11
