ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
23:58:49,2.70,130.26,3.88,1.01,1.02,667.6MiB,5.0,0.0,5.0,,,226,3,4,0,11
23:58:57,2.81,490.79,19.78,3.71,2.61,667.8MiB,4.0,0.0,6.0,,,237,1,5,0,11
23:59:05,3.47,498.39,16.33,3.78,2.71,667.6MiB,5.0,0.0,5.0,,,242,1,5,0,11
23:59:12,3.91,508.16,16.21,3.70,2.69,667.6MiB,5.0,0.0,5.0,,,243,1,5,0,11
23:59:20,4.40,507.84,16.07,3.86,2.78,667.6MiB,5.0,0.0,5.0,,,235,1,5,0,11
23:59:28,4.45,501.28,15.86,3.72,2.69,667.6MiB,5.0,0.0,5.0,,,236,2,4,0,11
23:59:36,4.53,506.34,16.36,3.81,2.78,667.6MiB,6.0,0.0,4.0,,,224,1,5,0,11
23:59:44,4.60,499.14,15.86,3.69,2.69,668.1MiB,5.0,0.0,5.0,,,215,1,5,0,11
23:59:51,4.55,509.76,15.69,3.64,2.59,667.6MiB,4.0,0.0,6.0,,,225,1,5,0,11
23:59:59,4.62,508.63,17.02,3.84,2.74,667.6MiB,5.0,0.0,5.0,,,222,1,5,0,11
00:00:07,4.89,520.71,16.97,3.90,2.82,667.8MiB,6.0,0.0,4.0,,,227,2,4,0,11
00:00:15,4.91,497.95,16.42,3.71,2.68,667.6MiB,4.0,0.0,6.0,,,252,1,4,0,11
