ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
00:16:44,6.77,0.18,0.02,0.00,0.37,687.2MiB,0.0,0.0,10.0,,,178,1,0,0,11
00:16:52,5.73,7.71,0.38,0.10,0.79,687.2MiB,0.0,0.0,10.0,,,220,1,1,0,11
00:17:00,5.43,7.68,0.34,0.10,0.45,687.2MiB,0.0,0.0,10.0,,,263,1,0,0,11
00:17:08,4.59,252.33,8.88,2.32,1.85,687.3MiB,3.0,0.0,7.0,,,200,1,3,0,11
00:17:15,4.46,747.16,19.72,6.10,3.39,687.7MiB,10.0,115.0,0.0,,,277,2,8,0,11
00:17:24,5.64,731.22,23.59,6.90,3.56,689.3MiB,9.0,187.0,1.0,,,225,1,10,0,11
00:17:35,6.78,723.59,25.73,5.90,3.02,690.8MiB,8.0,187.0,1.0,,,284,1,7,0,11
00:17:47,8.29,728.10,23.60,6.86,3.60,690.7MiB,10.0,176.0,0.0,,,190,1,3,0,11
00:17:56,8.12,7.85,0.41,0.08,0.43,688.7MiB,0.0,0.0,10.0,,,279,1,0,0,11
00:18:04,7.47,7.77,0.38,0.10,0.42,688.8MiB,0.0,0.0,10.0,,,211,1,0,0,11
00:18:12,6.32,7.95,0.34,0.09,2.15,688.7MiB,0.0,0.0,10.0,,,254,1,0,0,11
00:18:20,5.81,7.94,0.41,0.09,0.48,688.7MiB,0.0,0.0,10.0,,,190,1,0,0,11
00:18:28,4.92,7.88,0.37,0.07,0.45,688.7MiB,0.0,0.0,10.0,,,233,1,0,0,11
