ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
23:51:25,3.63,0.18,0.35,0.00,0.38,626.6MiB,1.0,0.0,9.0,,,164,1,1,0,11
23:51:33,3.53,141.45,7.95,2.67,1.31,626.8MiB,1.0,0.0,9.0,,,146,1,1,0,11
23:51:40,3.48,165.53,12.21,4.02,1.54,626.8MiB,1.0,0.0,9.0,,,169,3,1,0,11
23:51:48,3.47,202.14,17.30,5.57,1.80,627MiB,1.0,0.0,9.0,,,157,1,1,0,11
23:51:56,3.67,212.74,23.72,7.35,3.89,626.8MiB,1.0,0.0,9.0,,,144,1,1,0,11
23:52:04,3.66,270.09,28.31,9.03,2.50,626.8MiB,1.0,0.0,9.0,,,197,1,1,0,11
23:52:11,3.45,285.37,38.13,88.09,2.84,626.8MiB,1.0,0.0,9.0,,,180,1,1,0,11
23:52:19,3.47,284.52,35.90,104.15,2.84,627.2MiB,4.0,0.0,6.0,,,160,1,1,0,11
23:52:27,4.63,251.59,22.60,102.58,3.84,626.8MiB,0.0,0.0,10.0,,,188,1,0,0,11
23:52:35,5.02,112.12,8.89,100.13,1.27,628.3MiB,0.0,0.0,10.0,,,180,1,0,0,11
23:52:42,4.62,563.87,19.39,100.75,1.26,627.3MiB,0.0,0.0,10.0,,,136,1,0,0,11
23:52:50,7.09,264.29,18.10,64.56,1.67,631.7MiB,10.0,182.0,0.0,,,192,1,0,0,11
23:52:59,7.55,482.09,0.01,100.41,0.37,627.6MiB,0.0,0.0,10.0,,,181,1,0,0,11
23:53:07,7.19,529.30,63.11,58.61,6.10,669MiB,10.0,79.0,0.0,,,197,1,0,0,11
23:53:15,6.32,203.86,19.14,104.66,1.51,670.5MiB,0.0,0.0,10.0,,,149,1,0,0,11
23:53:23,6.13,252.08,36.35,102.18,2.70,668.4MiB,6.0,0.0,4.0,,,180,1,1,0,11
23:53:31,5.19,268.09,43.95,100.70,3.10,672.2MiB,3.0,0.0,7.0,,,172,1,0,0,11
23:53:39,5.50,78.05,13.13,102.28,1.18,668.9MiB,0.0,0.0,10.0,,,132,1,0,0,11
23:53:47,5.22,150.35,22.97,86.95,1.87,677.6MiB,10.0,162.0,0.0,,,242,1,0,0,11
23:53:56,4.73,7.09,0.01,101.42,0.33,670.1MiB,4.0,0.0,6.0,,,161,1,0,0,11
23:54:04,4.31,100.99,15.50,99.84,1.39,668.4MiB,0.0,0.0,10.0,,,211,1,0,0,11
23:54:12,4.12,0.20,16.78,82.04,1.56,667.9MiB,3.0,0.0,7.0,,,200,1,0,0,11
23:54:20,3.49,300.69,63.17,101.85,3.44,674.2MiB,5.0,0.0,5.0,,,159,1,0,0,11
23:54:28,3.21,117.03,27.82,101.68,3.72,673.2MiB,5.0,0.0,5.0,,,261,1,0,0,11
23:54:36,3.19,236.05,44.85,98.42,2.76,677.3MiB,0.0,0.0,10.0,,,278,1,0,0,11
23:54:43,3.01,0.16,0.01,101.90,0.37,672.1MiB,0.0,0.0,10.0,,,167,1,0,0,11
23:54:51,2.92,0.17,4.01,101.48,0.39,672.1MiB,0.0,0.0,10.0,,,230,1,0,0,11
23:54:59,2.78,264.61,40.47,98.49,2.98,675MiB,0.0,0.0,10.0,,,153,1,0,0,11
23:55:07,2.72,0.17,4.31,101.34,0.37,672MiB,0.0,0.0,10.0,,,221,1,0,0,11
23:55:14,2.30,93.48,76.65,23.23,4.87,684.6MiB,1.0,0.0,9.0,,,239,1,0,0,11
23:55:23,2.92,0.14,0.04,99.82,0.36,672.3MiB,0.0,0.0,10.0,,,190,1,0,0,11
23:55:31,4.05,322.80,52.86,101.34,3.14,675MiB,0.0,0.0,10.0,,,224,2,0,0,11
23:55:39,4.99,83.30,14.26,36.97,2.81,672.3MiB,0.0,0.0,10.0,,,251,1,0,0,11
23:55:47,4.83,2.26,0.01,0.00,0.40,672.3MiB,0.0,0.0,10.0,,,199,1,0,0,11
