ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
00:10:59,6.88,0.29,3.68,0.00,0.38,672MiB,0.0,0.0,10.0,,,143,1,2,0,11
00:11:07,5.98,184.85,10.33,2.57,1.60,672.1MiB,1.0,0.0,9.0,,,97,2,2,0,11
00:11:15,5.90,205.04,18.28,3.24,1.81,672.3MiB,5.0,0.0,5.0,,,121,1,2,0,11
00:11:22,6.06,256.13,22.12,4.88,2.16,672.3MiB,2.0,0.0,8.0,,,107,2,1,0,11
00:11:30,5.67,285.99,32.77,6.18,2.58,672.1MiB,1.0,0.0,9.0,,,141,1,3,0,11
00:11:38,5.38,330.90,36.33,7.81,5.03,672.1MiB,3.0,0.0,7.0,,,107,1,2,0,11
00:11:46,4.79,345.68,45.70,9.04,3.13,672.6MiB,1.0,0.0,9.0,,,151,1,2,0,11
00:11:53,4.56,407.63,50.81,11.07,3.78,672.2MiB,3.0,0.0,7.0,,,134,1,2,0,11
00:12:01,4.46,438.74,61.96,13.19,4.14,672.4MiB,1.0,0.0,9.0,,,101,1,3,0,11
00:12:09,5.31,451.64,61.37,13.89,4.29,672.4MiB,2.0,0.0,8.0,,,102,1,3,0,11
00:12:17,6.32,491.89,66.43,15.56,4.50,672.7MiB,6.0,0.0,4.0,,,175,1,3,0,11
00:12:25,7.10,566.02,78.40,19.03,4.96,672.3MiB,2.0,0.0,8.0,,,175,3,4,0,11
00:12:33,8.08,574.35,75.62,24.83,5.22,674.2MiB,7.0,0.0,3.0,,,129,3,6,0,11
00:12:43,9.94,559.63,78.93,24.87,5.12,678.5MiB,7.0,4.0,1.0,,,221,1,4,0,11
00:12:56,12.05,557.93,73.66,24.94,5.14,684.1MiB,9.0,2.0,4.0,,,235,1,6,0,11
00:13:16,15.59,569.32,78.69,25.19,5.25,691.7MiB,9.0,0.0,2.0,,,233,1,6,0,11
00:13:39,14.75,581.15,79.37,25.46,7.63,692.6MiB,5.0,0.0,3.0,,,208,2,4,0,11
00:14:03,16.74,514.98,82.00,27.23,5.65,692.6MiB,4.0,0.0,9.0,,,207,3,2,0,11
00:14:26,13.22,522.28,90.09,28.54,5.48,693MiB,2.0,0.0,6.0,,,275,5,0,0,11
00:14:48,13.13,517.52,85.46,29.31,5.43,692.8MiB,2.0,0.0,9.0,,,226,3,2,0,11
00:15:11,13.05,535.52,92.80,29.40,7.53,692.8MiB,4.0,0.0,7.0,,,173,3,2,0,11
00:15:32,11.87,512.35,87.39,28.68,5.66,707.6MiB,2.0,0.0,7.0,,,211,2,4,0,11
00:15:54,12.29,522.82,89.78,30.04,5.66,708.2MiB,0.0,0.0,8.0,,,254,1,2,0,11
00:16:15,10.46,237.68,41.49,9.49,2.69,687.3MiB,3.0,0.0,7.0,,,203,1,0,0,11
00:16:23,9.36,0.21,3.96,0.00,0.37,687.2MiB,0.0,0.0,10.0,,,226,1,0,0,11
