ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
23:18:09,0.35,6.85,0.09,0.02,0.42,541.5MiB,2.0,0.0,8.0,,,106,2,2,0,11
23:18:17,0.32,100.70,20.67,1.30,2.86,547.4MiB,6.0,0.0,4.0,,,145,1,5,0,11
23:18:25,0.42,103.32,27.61,1.36,0.92,545.3MiB,7.0,0.0,3.0,,,151,1,4,0,11
23:18:33,0.38,91.54,19.72,1.11,0.93,545.7MiB,1.0,0.0,9.0,,,146,1,0,0,11
23:18:41,0.48,91.01,22.10,1.02,0.95,547MiB,1.0,0.0,9.0,,,125,1,3,0,11
23:18:49,0.95,102.05,22.24,1.11,0.88,547.9MiB,6.0,0.0,4.0,,,110,1,3,0,11
23:18:57,0.88,79.20,16.30,1.05,2.66,548.9MiB,1.0,0.0,9.0,,,106,1,0,0,11
23:19:05,0.90,86.15,17.75,1.14,0.94,550.2MiB,1.0,0.0,9.0,,,161,1,1,0,11
23:19:12,0.83,99.27,19.24,1.19,0.99,551.4MiB,1.0,0.0,9.0,,,147,2,1,0,11
23:19:20,0.78,79.32,18.37,1.06,0.90,551.9MiB,1.0,0.0,9.0,,,134,1,0,0,11
23:19:28,0.72,83.62,21.53,1.09,2.86,552.4MiB,1.0,0.0,9.0,,,116,1,1,0,11
23:19:36,0.84,80.29,20.43,1.17,0.94,552.9MiB,1.0,0.0,9.0,,,171,1,1,0,11
