dockin-app-1  | 2026-09-20T08:16:08.417+09:00  WARN [37490cf62a0643b5] 1 --- [DOCKin-spring] [io-8080-exec-35] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:16:09.213+09:00  WARN [a0f5d9f216664cd5] 1 --- [DOCKin-spring] [io-8080-exec-79] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:16:12.308+09:00  WARN [7b325dd34ee84c95] 1 --- [DOCKin-spring] [io-8080-exec-60] c.D.global.error.GlobalExceptionHandler  : BusinessException: AT001 - 이미 오늘 출근 처리가 완료되었습니다.
dockin-app-1  | 2026-09-20T08:16:12.423+09:00  WARN [] 1 --- [DOCKin-spring] [MessageBroker-1] c.DOCKin.global.config.HikariPoolWatch   : HikariPool 대기 pending=127 active=10 idle=0 total=10 max=10 — 풀 고갈이면 '누가 잡고 있나'부터 (ADR-0008 7-1)
dockin-app-1  | 2026-09-20T08:16:19.413+09:00 ERROR [07c869ebab3d4775] 1 --- [DOCKin-spring] [o-8080-exec-167] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:16:19.417+09:00 ERROR [92955b48b60c4bcb] 1 --- [DOCKin-spring] [nio-8080-exec-7] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:16:19.412+09:00 ERROR [863da8d0016e4d26] 1 --- [DOCKin-spring] [o-8080-exec-114] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:16:19.610+09:00 ERROR [1e241f725d0545ef] 1 --- [DOCKin-spring] [io-8080-exec-86] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:16:19.612+09:00 ERROR [82ee2960d6524e46] 1 --- [DOCKin-spring] [o-8080-exec-152] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:16:19.811+09:00 ERROR [c852c20a10ee4856] 1 --- [DOCKin-spring] [io-8080-exec-65] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:16:19.816+09:00 ERROR [73dcbd3a3b404922] 1 --- [DOCKin-spring] [io-8080-exec-90] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:16:20.037+09:00 ERROR [0bcc3b4e4d6541b0] 1 --- [DOCKin-spring] [o-8080-exec-131] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
dockin-app-1  | 2026-09-20T08:16:20.110+09:00 ERROR [e187393fdf804d25] 1 --- [DOCKin-spring] [io-8080-exec-68] c.D.global.error.GlobalExceptionHandler  : 처리되지 않은 예외
