ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
03:00:16,1.50,0.45,4.23,0.00,0.42,591.3MiB,1.0,0.0,9.0,,,221,1,0,0,11
03:00:23,1.38,41.40,0.50,0.41,2.77,592.8MiB,0.0,0.0,10.0,,,213,1,0,0,11
03:00:31,1.41,45.10,4.60,0.43,0.63,595.6MiB,0.0,0.0,10.0,,,207,1,0,0,11
03:00:39,1.46,45.12,1.94,0.62,0.60,603.1MiB,0.0,0.0,10.0,,,201,1,0,0,11
03:00:47,1.47,38.19,4.52,0.55,0.58,609.1MiB,0.0,0.0,10.0,,,194,1,1,0,11
03:00:55,1.24,45.31,0.35,0.58,0.56,609.1MiB,1.0,0.0,9.0,,,187,1,0,0,11
03:01:02,1.22,48.51,4.57,0.68,0.62,614.5MiB,0.0,0.0,10.0,,,247,1,0,0,11
03:01:10,1.19,42.89,0.39,0.68,0.74,618.6MiB,0.0,0.0,10.0,,,147,1,1,0,11
03:01:18,1.09,40.85,0.38,0.75,0.57,618.7MiB,1.0,0.0,9.0,,,141,2,0,0,11
03:01:26,0.92,46.61,0.41,0.80,0.60,618.8MiB,1.0,0.0,9.0,,,136,1,0,0,11
03:01:33,1.09,45.36,0.39,0.88,1.62,618.8MiB,0.0,0.0,10.0,,,130,1,0,0,11
03:01:41,1.07,43.47,0.36,0.90,0.86,618.9MiB,0.0,0.0,10.0,,,125,1,0,0,11
03:01:49,1.07,42.11,0.39,1.49,0.57,619MiB,0.0,0.0,10.0,,,120,1,1,0,11
03:01:57,0.90,41.46,0.37,0.96,0.61,619.3MiB,1.0,0.0,9.0,,,179,1,1,0,11
03:02:05,0.84,44.77,0.37,1.01,2.54,619.2MiB,1.0,0.0,9.0,,,176,1,0,0,11
03:02:12,0.86,38.29,0.37,1.07,0.58,619.2MiB,0.0,0.0,10.0,,,171,1,1,0,11
03:02:20,0.72,43.83,0.34,1.12,1.00,619.3MiB,1.0,0.0,9.0,,,167,1,0,0,11
03:02:28,0.67,45.21,0.37,1.16,0.59,619.6MiB,0.0,0.0,10.0,,,162,1,0,0,11
03:02:36,0.79,42.54,0.37,1.15,0.61,619.5MiB,0.0,0.0,10.0,,,159,1,0,0,11
03:02:44,0.81,53.02,0.37,1.20,0.61,619.6MiB,0.0,0.0,10.0,,,156,1,1,0,11
03:02:51,0.83,43.21,0.33,1.20,0.59,619.7MiB,1.0,0.0,9.0,,,153,1,0,0,11
03:02:59,0.77,46.94,4.70,2.36,0.62,619.8MiB,1.0,0.0,9.0,,,151,1,0,0,11
03:03:07,0.80,41.66,0.38,1.26,0.59,619.8MiB,0.0,0.0,10.0,,,212,1,0,0,11
03:03:15,0.83,40.15,4.64,1.28,2.52,621.4MiB,0.0,0.0,10.0,,,210,1,1,0,11
03:03:22,1.17,100.97,60.20,28.38,0.46,621.5MiB,2.0,0.0,8.0,,,228,2,0,0,11
03:03:30,1.29,103.26,63.26,28.00,1.25,621.5MiB,1.0,0.0,9.0,,,210,2,0,0,11
03:03:38,1.75,100.68,58.49,27.56,0.44,621.6MiB,2.0,0.0,8.0,,,184,2,1,0,11
03:03:46,1.95,103.01,64.76,28.35,0.46,645.1MiB,2.0,0.0,8.0,,,206,2,1,0,11
03:03:54,1.95,96.96,58.72,27.50,0.45,655.7MiB,2.0,0.0,8.0,,,209,3,0,0,11
03:04:01,1.96,99.11,62.31,26.83,0.46,660.8MiB,2.0,0.0,8.0,,,224,2,0,0,11
03:04:09,2.36,100.47,58.61,27.35,0.44,675.5MiB,2.0,0.0,8.0,,,238,3,0,0,11
03:04:17,2.61,98.67,57.56,27.11,0.44,688MiB,1.0,0.0,9.0,,,250,3,0,0,11
03:04:25,2.75,100.47,57.01,26.63,0.49,700.7MiB,2.0,0.0,8.0,,,272,2,0,0,11
03:04:33,2.69,102.57,58.97,27.92,0.46,713MiB,2.0,0.0,8.0,,,305,3,0,0,11
03:04:40,2.73,102.43,57.15,26.95,1.21,725.6MiB,2.0,0.0,8.0,,,313,2,1,0,11
03:04:48,2.75,98.29,56.91,26.72,0.44,738.1MiB,2.0,0.0,8.0,,,323,2,0,0,11
03:04:56,3.04,98.68,57.65,27.15,2.44,745.5MiB,2.0,0.0,8.0,,,197,3,0,0,11
03:05:04,2.96,97.98,55.81,26.33,0.42,745.8MiB,2.0,0.0,8.0,,,224,2,1,0,11
03:05:12,2.81,97.89,56.84,26.91,0.45,745.8MiB,2.0,0.0,8.0,,,236,3,0,0,11
03:05:19,2.74,55.26,50.15,0.00,0.41,749.5MiB,2.0,0.0,8.0,,,235,2,1,0,11
03:05:27,2.78,55.49,52.12,0.00,0.42,749.6MiB,2.0,0.0,8.0,,,267,2,1,0,11
