ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
02:49:55,3.39,0.36,1.30,0.00,0.41,621.3MiB,0.0,0.0,10.0,,,232,1,1,0,11
02:50:03,3.03,136.34,1.11,0.92,0.87,630.6MiB,1.0,0.0,9.0,,,202,1,1,0,11
02:50:11,2.86,128.93,1.08,1.07,0.89,638.8MiB,1.0,0.0,9.0,,,144,1,1,0,11
02:50:18,2.58,125.21,1.47,1.22,0.83,638.8MiB,1.0,0.0,9.0,,,111,1,2,0,11
02:50:26,2.45,125.68,1.08,1.26,0.92,639MiB,2.0,0.0,8.0,,,144,1,1,0,11
02:50:34,2.30,125.32,1.12,1.37,0.84,639.3MiB,1.0,0.0,9.0,,,176,1,1,0,11
02:50:42,2.20,124.03,1.02,1.53,0.87,639.5MiB,1.0,0.0,9.0,,,146,1,2,0,11
02:50:50,2.01,125.27,1.08,1.70,0.92,639.7MiB,1.0,0.0,9.0,,,183,1,1,0,11
02:50:57,1.93,259.68,157.97,59.18,1.22,640.1MiB,10.0,6.0,0.0,,,208,7,2,0,11
02:51:05,4.49,262.87,162.10,59.29,0.59,640.4MiB,10.0,6.0,0.0,,,202,8,1,0,11
02:51:13,5.58,258.61,158.91,57.91,0.59,688.9MiB,10.0,6.0,0.0,,,280,4,2,0,11
02:51:21,6.50,263.60,162.79,59.65,0.54,713.8MiB,10.0,6.0,0.0,,,261,5,0,0,11
02:51:29,6.31,254.17,155.60,58.30,0.54,737.7MiB,10.0,6.0,0.0,,,330,3,3,0,11
02:51:37,5.80,252.80,156.01,55.30,1.69,762.2MiB,10.0,6.0,0.0,,,304,2,4,0,11
02:51:45,6.55,263.88,161.96,58.82,0.57,771.4MiB,7.0,6.0,3.0,,,205,5,4,0,11
02:51:53,7.87,249.02,158.83,55.95,0.56,771.5MiB,8.0,6.0,2.0,,,280,6,2,0,11
02:52:01,9.09,266.09,163.59,59.46,0.60,771.5MiB,10.0,4.0,0.0,,,341,9,1,0,11
02:52:09,10.23,255.79,163.47,58.01,3.05,771.6MiB,9.0,6.0,1.0,,,286,4,1,0,11
02:52:17,9.49,261.68,160.81,59.06,0.57,772.9MiB,10.0,5.0,0.0,,,332,5,3,0,11
02:52:25,8.03,257.95,157.94,57.20,0.54,772.9MiB,10.0,4.0,0.0,,,292,6,2,0,11
02:52:33,7.79,263.53,161.76,59.48,0.55,774MiB,10.0,3.0,0.0,,,330,8,1,1,11
02:52:40,7.48,183.07,162.45,59.07,0.62,774.3MiB,10.0,6.0,0.0,,,363,8,1,0,11
02:52:48,8.33,254.57,160.49,57.81,0.57,774.6MiB,10.0,6.0,0.0,,,281,1,3,0,11
02:52:56,10.15,256.90,159.64,26.51,2.99,776.2MiB,10.0,5.0,0.0,,,299,8,1,1,11
02:53:04,8.59,178.53,161.15,0.00,0.42,776.2MiB,10.0,6.0,0.0,,,240,10,0,1,11
