ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
01:57:47,0.45,0.24,4.18,0.00,0.40,479.9MiB,0.0,0.0,10.0,,,131,1,0,0,11
01:57:55,0.50,153.00,1.24,0.99,0.96,491MiB,1.0,0.0,9.0,,,151,1,1,0,11
01:58:03,0.58,138.81,6.06,1.17,0.90,512.4MiB,1.0,0.0,9.0,,,105,1,1,0,11
01:58:10,0.61,153.07,1.11,1.32,0.93,514.3MiB,1.0,0.0,9.0,,,142,1,1,0,11
01:58:18,0.67,132.35,1.14,1.36,0.85,516.5MiB,1.0,0.0,9.0,,,178,1,0,0,11
01:58:26,0.78,134.06,1.23,1.50,0.86,530.2MiB,1.0,0.0,9.0,,,151,1,2,0,11
01:58:34,0.81,134.15,1.22,1.63,0.89,541.4MiB,2.0,0.0,8.0,,,189,1,1,0,11
01:58:42,0.99,126.17,1.05,1.71,0.87,552.3MiB,1.0,0.0,9.0,,,165,1,1,0,11
01:58:49,0.99,166.10,4.43,3.45,3.07,568.2MiB,0.0,0.0,10.0,,,190,1,0,0,11
01:58:57,0.84,22.41,3.69,2.38,0.40,576.1MiB,0.0,0.0,10.0,,,194,1,0,0,11
01:59:05,0.85,30.71,2.54,2.17,0.40,579.8MiB,0.0,0.0,10.0,,,192,1,0,0,11
01:59:13,0.72,11.46,2.58,2.27,0.39,578.6MiB,0.0,0.0,10.0,,,183,1,0,0,11
01:59:20,0.66,26.11,3.38,2.30,0.44,579.5MiB,0.0,0.0,10.0,,,176,1,0,0,11
01:59:28,0.56,9.26,4.09,2.56,0.41,580.4MiB,0.0,0.0,10.0,,,170,1,0,0,11
01:59:36,0.51,9.66,6.45,2.04,0.41,580.2MiB,0.0,0.0,10.0,,,169,1,0,0,11
01:59:44,0.51,11.07,3.13,2.16,0.40,580.6MiB,0.0,0.0,10.0,,,229,1,0,0,11
01:59:52,0.55,11.89,2.71,2.12,0.41,581MiB,0.0,0.0,10.0,,,220,1,0,0,11
01:59:59,0.47,14.73,2.01,1.84,0.96,581.7MiB,0.0,0.0,10.0,,,213,1,0,0,11
02:00:07,0.62,10.36,3.39,2.18,0.39,581.6MiB,0.0,0.0,10.0,,,212,1,0,0,11
02:00:15,0.73,17.65,2.68,1.94,0.40,582.2MiB,0.0,0.0,10.0,,,203,1,0,0,11
02:00:23,0.62,9.98,3.03,2.14,0.40,581.9MiB,0.0,0.0,10.0,,,195,1,0,0,11
02:00:31,0.65,10.25,7.51,2.13,2.32,582.1MiB,0.0,0.0,10.0,,,190,1,0,0,11
02:00:38,0.71,12.13,5.99,2.18,0.39,582.5MiB,0.0,0.0,10.0,,,185,1,0,0,11
02:00:46,0.73,2.82,4.41,2.33,0.39,582.7MiB,0.0,0.0,10.0,,,171,1,0,0,11
02:00:54,1.58,790.85,3.70,2.50,1.31,627.3MiB,,189.0,0.0,,,267,1,0,0,11
