ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
02:39:10,0.55,0.55,0.08,0.00,0.40,431.7MiB,0.0,0.0,10.0,,,141,1,0,0,11
02:39:18,0.46,101.07,1.55,0.77,0.68,447MiB,,,,,,0,1,10,0,11
02:39:44,0.46,103.63,0.94,0.91,0.66,543.9MiB,,,,,,0,1,9,0,11
02:40:09,1.10,99.94,0.67,1.00,0.63,584.3MiB,,,,,,0,1,8,0,11
02:40:35,0.72,101.92,0.85,1.07,0.64,613.8MiB,,,,,,233,1,4,0,11
02:40:57,2.53,103.94,21.62,1.40,0.41,677.1MiB,2.0,0.0,8.0,,,269,2,0,0,11
02:41:05,2.56,103.96,22.96,10.22,0.50,672.7MiB,2.0,0.0,8.0,,,221,2,1,0,11
02:41:13,2.47,81.44,16.09,7.11,0.82,675.4MiB,0.0,0.0,10.0,,,240,1,2,0,11
02:41:21,2.35,45.15,14.22,6.53,0.40,674.2MiB,0.0,0.0,10.0,,,209,1,0,0,11
02:41:29,2.06,24.76,14.28,6.21,0.41,675.2MiB,0.0,0.0,10.0,,,272,2,0,0,11
02:41:37,2.06,23.18,13.78,6.39,0.39,676.2MiB,0.0,0.0,10.0,,,240,1,0,0,11
02:41:44,1.82,26.19,14.89,6.91,0.42,676.6MiB,0.0,0.0,10.0,,,209,1,0,0,11
02:41:52,1.62,23.37,15.13,6.32,0.41,676.7MiB,0.0,0.0,10.0,,,269,1,0,0,11
02:42:00,1.49,26.53,13.36,6.18,0.41,677MiB,0.0,0.0,10.0,,,238,1,0,0,11
02:42:08,1.26,25.12,15.37,6.40,0.42,677.3MiB,0.0,0.0,10.0,,,204,3,0,0,11
02:42:16,1.16,0.26,0.10,0.00,0.40,676.5MiB,0.0,0.0,10.0,,,266,1,0,0,11
02:42:23,0.98,0.28,4.21,0.00,2.27,676.6MiB,0.0,0.0,10.0,,,272,1,0,0,11
