ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
02:56:33,4.24,150.57,0.77,0.00,0.54,683.7MiB,4.0,0.0,6.0,,,267,1,4,0,11
02:56:41,3.91,191.63,56.94,11.07,4.15,685.6MiB,2.0,0.0,8.0,,,231,1,0,0,11
02:56:49,3.76,139.11,45.33,8.20,3.12,685.3MiB,3.0,0.0,7.0,,,205,1,0,0,11
02:56:57,3.70,108.86,36.41,7.38,2.85,685.3MiB,2.0,0.0,8.0,,,226,1,1,0,11
02:57:05,3.56,156.94,51.21,9.18,3.49,685.8MiB,1.0,0.0,9.0,,,215,1,1,0,11
02:57:12,3.69,132.99,51.98,10.45,3.94,686.7MiB,2.0,0.0,8.0,,,259,1,0,0,11
02:57:20,3.71,180.71,63.89,11.50,4.39,687.2MiB,0.0,0.0,10.0,,,274,2,0,0,11
02:57:28,3.44,157.90,56.70,10.96,4.11,687.9MiB,0.0,0.0,10.0,,,262,1,0,0,11
02:57:36,3.39,157.43,61.40,11.55,4.17,689.4MiB,1.0,0.0,9.0,,,203,1,0,0,11
02:57:43,3.20,142.96,48.48,9.91,5.84,689.3MiB,3.0,0.0,7.0,,,268,1,2,0,11
02:57:51,2.86,136.26,47.77,8.99,3.50,690.3MiB,1.0,0.0,9.0,,,234,1,0,0,11
02:57:59,2.64,126.79,38.41,8.15,3.03,690.3MiB,1.0,0.0,9.0,,,207,1,0,0,11
02:58:07,2.60,102.26,34.79,7.48,3.16,691.8MiB,2.0,0.0,8.0,,,244,1,2,0,11
02:58:15,2.39,99.41,36.41,7.79,3.17,691.4MiB,1.0,0.0,9.0,,,240,1,0,0,11
02:58:22,2.49,123.15,43.60,9.07,3.34,691.6MiB,0.0,0.0,10.0,,,284,1,1,0,11
02:58:30,2.37,113.57,37.56,8.33,3.19,692.3MiB,0.0,0.0,10.0,,,289,1,0,0,11
02:58:38,2.67,109.43,30.78,6.63,2.96,692.6MiB,3.0,0.0,7.0,,,279,1,1,0,11
