ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
02:45:11,1.88,20.24,0.15,0.03,0.41,518MiB,4.0,0.0,6.0,,,93,1,4,0,11
02:45:19,1.89,98.13,1.74,0.22,0.54,519.3MiB,4.0,0.0,6.0,,,95,1,4,0,11
02:45:27,1.60,100.99,0.48,0.15,0.53,520.1MiB,4.0,0.0,6.0,,,89,1,4,0,11
02:45:35,1.52,99.63,0.54,0.17,0.51,522.1MiB,0.0,0.0,10.0,,,78,1,5,0,11
02:45:42,3.40,102.77,29.99,7.66,1.89,578.1MiB,,,,,,0,1,4,0,11
02:46:08,2.29,103.58,25.43,5.81,2.10,596.1MiB,,,,,,0,1,5,0,11
02:46:34,7.11,103.89,32.92,6.98,1.87,618.4MiB,,,,,,0,2,6,0,11
02:47:00,4.80,104.72,38.93,8.40,2.28,617.5MiB,,,,,,0,1,6,0,11
02:47:26,6.24,107.07,46.70,9.94,1.97,619.5MiB,,,,,,0,1,5,0,11
02:47:51,4.16,104.71,27.98,5.97,1.82,651.2MiB,,,,,,0,1,4,0,11
02:48:17,7.16,104.26,37.78,9.22,4.21,624.3MiB,,,,,,0,1,7,0,11
02:48:43,4.83,105.01,27.23,8.50,2.01,630.8MiB,,177.0,,,,0,1,7,0,11
02:49:09,5.94,106.65,35.36,8.24,4.48,628.5MiB,,,,,,0,1,7,0,11
02:49:34,3.67,105.36,40.58,9.01,2.60,630.1MiB,,,,,,169,2,6,0,11
02:50:00,10.42,107.60,28.30,7.38,1.92,632.2MiB,,,,,,0,1,5,0,11
02:50:26,6.93,108.37,39.45,9.97,2.15,634.3MiB,,,,,,0,1,9,0,11
02:50:52,11.19,108.57,38.38,10.06,2.62,636.5MiB,,178.0,,,,0,3,4,0,11
02:51:18,7.37,104.07,34.23,8.24,2.15,643.4MiB,,,,,,0,1,7,0,11
02:51:43,8.36,105.60,40.01,10.27,2.96,644.4MiB,,,,,,0,1,5,0,11
02:52:09,5.51,107.06,34.57,9.56,2.65,671.5MiB,,,,,,0,1,7,0,11
02:52:35,6.68,109.58,32.74,8.11,1.92,677.4MiB,,,,,,0,1,5,0,11
02:53:01,4.40,105.84,28.49,7.08,4.02,679.9MiB,,,,,,0,1,8,0,11
02:53:27,6.14,105.62,39.59,9.92,2.75,683.5MiB,,,,,,0,1,7,0,11
02:53:52,5.96,111.26,44.58,8.82,2.88,686MiB,,,0.0,,,0,1,8,0,11
02:54:18,7.47,104.54,30.11,7.94,2.29,687.2MiB,,,,,,0,1,8,0,11
02:54:44,5.05,104.10,39.81,9.97,2.42,689MiB,10.0,,,,,0,2,7,0,11
02:55:10,6.85,104.79,33.47,8.89,2.28,690.8MiB,,,,,,0,1,6,0,11
02:55:35,7.82,105.90,42.80,9.66,2.30,692.7MiB,5.0,19.0,5.0,,,239,1,0,0,11
02:55:46,8.47,2.31,0.08,0.00,0.39,683.6MiB,0.0,0.0,10.0,,,242,1,0,0,11
02:55:54,7.79,0.29,0.01,0.00,0.38,683.5MiB,0.0,0.0,10.0,,,243,1,0,0,11
02:56:02,6.59,0.20,0.00,0.00,2.32,683.5MiB,0.0,0.0,10.0,,,244,1,0,0,11
02:56:09,6.06,0.23,0.01,0.00,0.38,683.6MiB,0.0,0.0,10.0,,,245,1,0,0,11
02:56:17,5.28,0.22,0.00,0.00,0.41,683.6MiB,0.0,0.0,10.0,,,246,1,0,0,11
02:56:25,5.02,0.26,0.00,0.00,0.40,683.6MiB,0.0,0.0,10.0,,,247,1,0,0,11
