seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1789652717,2026-09-17T13:45:17+00:00,0,0,0,,,,,2.00,no,
2,1789652738,2026-09-17T13:45:38+00:00,21,0,0,0,0,,,2.00,yes,
3,1789652758,2026-09-17T13:45:58+00:00,41,360,300,360,300,55.6,66.7,2.00,yes,
4,1789652778,2026-09-17T13:46:18+00:00,61,718,600,358,300,55.9,66.7,2.00,yes,
5,1789652799,2026-09-17T13:46:39+00:00,82,1197,1000,479,400,43.8,52.5,2.00,yes,
6,1789652819,2026-09-17T13:46:59+00:00,102,1572,1300,375,300,53.3,66.7,2.00,yes,
7,1789652839,2026-09-17T13:47:20+00:00,122,1922,1600,350,300,57.1,66.7,2.00,yes,
8,1789652860,2026-09-17T13:47:40+00:00,143,2283,1900,361,300,58.2,70.0,2.00,yes,
9,1789652880,2026-09-17T13:48:00+00:00,163,2283,1900,0,0,,,2.00,yes,
10,1789652901,2026-09-17T13:48:21+00:00,184,2525,2100,242,200,86.8,105.0,2.00,yes,
11,1789652921,2026-09-17T13:48:41+00:00,204,2895,2400,370,300,54.1,66.7,2.00,yes,
12,1789652941,2026-09-17T13:49:02+00:00,224,3158,2600,263,200,76.0,100.0,2.00,no,
13,1789652962,2026-09-17T13:49:22+00:00,245,3158,2600,0,0,,,2.00,yes,
14,1789652982,2026-09-17T13:49:42+00:00,265,3505,2900,347,300,57.6,66.7,2.00,yes,
15,1789653002,2026-09-17T13:50:03+00:00,285,3652,3021,147,121,136.1,165.3,2.00,yes,
