t_epoch,t_iso,elapsed_s,phase,chunks,sources,d_chunks,d_sources,ms_per_source,app,ins_calls,ins_ms,d_ins_calls,d_ins_ms,ins_ms_per_call,all_calls,all_ms,ckpt_timed,ckpt_req,ckpt_buffers,wal_mb,n_dead,n_ins_since_vac,autovac_count,last_autovac,vac_running,heap_mb,hnsw_mb,backends,lock_waits,cpu_app,cpu_db,cpu_tei,mem_app
1789652739,2026-09-17T13:45:42Z,20,baseline,0,0,0,0,,up,0,0,0,0.0,,178,11,0,0,0,0.0,0,0,0,,0,0,0,11,0,11.55%,0.14%,190.87%,440.3MiB
1789652762,2026-09-17T13:46:05Z,43,baseline,360,300,360,300,76.7,up,360,214.0,360,214.0,0.594,854,229,1,0,214,2.1,0,360,0,,0,0,1,11,0,3.28%,9.31%,197.01%,450.2MiB
1789652785,2026-09-17T13:46:28Z,66,baseline,834,700,474,400,57.5,up,834,566.8,474,352.8,0.744,1747,589,1,0,443,4.9,0,834,0,,0,1,2,11,0,13.53%,0.10%,173.74%,454.9MiB
1789652808,2026-09-17T13:46:51Z,89,baseline,1322,1100,488,400,57.5,up,1322,954.6,488,387.8,0.795,2655,986,1,0,672,7.8,0,1322,0,,0,1,3,11,0,0.93%,0.07%,201.25%,457.7MiB
1789652831,2026-09-17T13:47:14Z,112,watch,1801,1500,479,400,57.5,up,1801,1355.2,479,400.6,0.836,3556,1398,1,0,903,10.6,0,0,1,13:47:11,0,1,3,11,0,0.49%,7.20%,201.60%,459.2MiB
1789652854,2026-09-17T13:47:37Z,135,watch,2164,1800,363,300,76.7,up,2164,1659.9,363,304.7,0.839,4234,1708,1,0,921,12.8,0,363,1,13:47:11,0,2,4,11,0,34.85%,0.01%,174.32%,479.9MiB
1789652882,2026-09-17T13:48:05Z,163,observe-1,2283,1900,119,100,280.0,up,2283,1762.1,119,102.2,0.859,4626,1837,1,0,921,13.5,0,482,1,13:47:11,0,2,4,11,0,98.01%,3.61%,0.35%,440.9MiB
1789652905,2026-09-17T13:48:28Z,186,observe-1,2649,2200,366,300,76.7,up,2649,2082.8,366,320.7,0.876,7266,2234,1,0,921,15.6,0,848,1,13:47:11,0,2,5,11,0,0.26%,0.01%,200.12%,457.1MiB
1789652928,2026-09-17T13:48:51Z,209,observe-1,3027,2500,378,300,76.7,up,3027,2417.3,378,334.5,0.885,7959,2586,1,0,921,17.8,0,1226,1,13:47:11,0,2,6,11,0,0.67%,0.00%,199.64%,460.8MiB
1789652962,2026-09-17T13:49:25Z,243,observe-2,3158,2600,131,100,340.0,up,3158,2534.0,131,116.7,0.891,8442,2752,1,1,2746,18.5,0,1357,1,13:47:11,0,2,6,11,0,98.65%,7.36%,0.35%,438.1MiB
1789652985,2026-09-17T13:49:48Z,266,observe-2,3505,2900,347,300,76.7,up,3505,2849.2,347,315.2,0.908,11699,3179,1,1,2746,26.1,0,119,2,13:49:36,0,3,7,11,0,1.11%,1.09%,201.25%,455.1MiB
1789653008,2026-09-17T13:50:11Z,289,observe-2,3652,3021,147,121,190.1,up,3652,2983.5,147,134.3,0.914,11880,3321,1,1,2746,27.0,0,266,2,13:49:36,0,3,7,11,0,0.39%,0.03%,0.17%,457.4MiB
