seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1789793966,2026-09-19T04:59:26+00:00,0,0,0,,,,,2.00,no,
2,1789794026,2026-09-19T05:00:27+00:00,60,599,500,599,500,100.2,120.0,2.00,yes,
3,1789794087,2026-09-19T05:01:27+00:00,121,1572,1300,973,800,62.7,76.2,2.00,yes,
4,1789794147,2026-09-19T05:02:27+00:00,181,2525,2100,953,800,63.0,75.0,2.00,yes,
5,1789794208,2026-09-19T05:03:28+00:00,242,3505,2900,980,800,62.2,76.2,2.00,yes,
6,1789794268,2026-09-19T05:04:28+00:00,302,4472,3700,967,800,62.0,75.0,2.00,yes,
7,1789794329,2026-09-19T05:05:29+00:00,363,5413,4500,941,800,64.8,76.2,2.00,yes,
8,1789794389,2026-09-19T05:06:29+00:00,423,6371,5300,958,800,62.6,75.0,2.00,yes,
9,1789794449,2026-09-19T05:07:30+00:00,483,7446,6200,1075,900,55.8,66.7,2.00,yes,
10,1789794510,2026-09-19T05:08:30+00:00,544,8391,7000,945,800,64.6,76.2,2.00,yes,
11,1789794570,2026-09-19T05:09:31+00:00,604,9346,7800,955,800,62.8,75.0,2.00,yes,
12,1789794631,2026-09-19T05:10:31+00:00,665,10317,8600,971,800,62.8,76.2,2.00,yes,
13,1789794691,2026-09-19T05:11:31+00:00,725,11388,9500,1071,900,56.0,66.7,2.00,yes,
