t_epoch,t_iso,elapsed_s,phase,chunks,sources,d_chunks,d_sources,ms_per_source,app,ins_calls,ins_ms,d_ins_calls,d_ins_ms,ins_ms_per_call,all_calls,all_ms,ckpt_timed,ckpt_req,ckpt_buffers,wal_mb,n_dead,n_ins_since_vac,autovac_count,last_autovac,vac_running,heap_mb,hnsw_mb,backends,lock_waits,cpu_app,cpu_db,cpu_tei,mem_app,mem_db_cur_mb,mem_db_max_mb,mem_db_file_mb,mem_db_anon_mb,mem_db_shmem_mb,mem_db_events_max
1789794028,2026-09-19T05:00:31Z,61,baseline,599,500,599,500,120.0,up,599,429.5,599,429.5,0.717,1294,538,0,0,0,5.3,0,599,0,,0,0,1,11,0,0.47%,0.16%,201.73%,454MiB,465,512,436,18,142,4023
1789794091,2026-09-19T05:01:34Z,124,baseline,1572,1300,973,800,78.8,up,1572,1261.7,973,832.2,0.855,3105,1397,0,0,0,11.0,0,1572,0,,0,1,3,11,0,0.29%,0.03%,175.64%,460.1MiB,483,512,454,19,142,4023
1789794154,2026-09-19T05:02:37Z,187,baseline,2649,2200,1077,900,70.0,up,2649,2283.1,1077,1021.4,0.948,5123,2439,1,0,842,21.0,0,964,1,05:01:36,0,2,5,11,0,1.04%,53.25%,199.00%,464.6MiB,508,512,474,23,142,4031
1789794217,2026-09-19T05:03:40Z,250,baseline,3627,3000,978,800,78.8,up,3627,3235.6,978,952.5,0.974,6939,3416,1,0,2662,26.8,0,0,2,05:03:36,0,3,7,11,0,1.11%,100.23%,200.44%,466.1MiB,503,512,467,24,142,4111
1789794281,2026-09-19T05:04:44Z,314,watch,4709,3900,1082,900,71.1,up,4709,4358.3,1082,1122.7,1.038,8964,4553,1,0,4526,33.0,0,1082,2,05:03:36,0,4,9,11,0,0.20%,100.22%,200.02%,467.8MiB,496,512,466,19,142,4266
1789794346,2026-09-19T05:05:49Z,379,observe-1,5781,4800,1072,900,72.2,up,5781,5499.4,1072,1141.1,1.064,10996,5730,1,0,5979,39.2,0,2154,2,05:03:36,0,4,11,11,0,0.20%,4.51%,199.03%,469.3MiB,503,1024,473,19,142,4266
1789794409,2026-09-19T05:06:52Z,442,observe-1,6729,5600,948,800,78.8,up,6729,6527.9,948,1028.5,1.085,12781,6804,1,0,7183,44.7,0,236,3,05:06:36,0,5,12,11,0,0.29%,0.01%,200.84%,470.2MiB,516,1024,487,19,142,4266
1789794473,2026-09-19T05:07:56Z,506,observe-1,7800,6500,1071,900,71.1,up,7800,7784.4,1071,1256.5,1.173,14793,8078,2,0,7781,62.4,0,1307,3,05:06:36,0,6,14,11,0,1.14%,0.10%,199.38%,471.6MiB,535,1024,505,19,142,4266
1789794537,2026-09-19T05:09:00Z,570,settled,8867,7400,1067,900,71.1,up,8867,8923.0,1067,1138.6,1.067,16811,9240,2,0,8589,68.5,0,2374,3,05:06:36,0,7,16,11,0,0.22%,0.09%,200.03%,472.5MiB,546,1024,516,19,142,4266
1789794600,2026-09-19T05:10:03Z,633,settled,9844,8200,977,800,78.8,up,9844,10050.6,977,1127.6,1.154,18625,10390,2,0,9386,74.0,0,375,4,05:09:36,0,8,18,11,0,0.67%,0.09%,201.61%,473.3MiB,556,1024,526,19,142,4266
1789794663,2026-09-19T05:11:06Z,696,settled,10915,9100,1071,900,70.0,up,10915,11256.8,1071,1206.2,1.126,20638,11618,2,0,10185,80.0,0,1446,4,05:09:36,0,8,20,11,0,3.75%,0.09%,200.77%,474.1MiB,566,1024,536,19,142,4266
1789794726,2026-09-19T05:12:09Z,759,settled,11966,10000,1051,900,70.0,up,11966,12571.9,1051,1315.1,1.251,22630,12958,3,0,10608,86.0,0,2497,4,05:09:36,0,9,22,11,0,0.21%,0.09%,197.96%,474.9MiB,577,1024,547,19,142,4266
