pass,state,query,run,ms
1,A,Q1,1,2798.630
1,A,Q1,2,343.624
1,A,Q1,3,245.743
1,A,Q1,4,236.284
1,A,Q1,5,240.846
1,A,Q1,6,237.592
1,A,Q1,7,243.422
1,A,Q2,1,250.758
1,A,Q2,2,293.341
1,A,Q2,3,233.671
1,A,Q2,4,247.221
1,A,Q2,5,278.409
1,A,Q2,6,442.874
1,A,Q2,7,309.007
1,A,Q3,1,345.625
1,A,Q3,2,444.672
1,A,Q3,3,401.454
1,A,Q3,4,246.067
1,A,Q3,5,244.291
1,A,Q3,6,265.397
1,A,Q3,7,238.143
1,A,Q4,1,238.623
1,A,Q4,2,233.240
1,A,Q4,3,244.014
1,A,Q4,4,237.985
1,A,Q4,5,235.788
1,A,Q4,6,236.908
1,A,Q4,7,257.030
1,A,Q5,1,13.221
1,A,Q5,2,12.682
1,A,Q5,3,15.918
1,A,Q5,4,11.070
1,A,Q5,5,11.662
1,A,Q5,6,11.987
1,A,Q5,7,10.899
2,B,Q1,1,34.575
2,B,Q1,2,1.511
2,B,Q1,3,1.665
2,B,Q1,4,1.674
2,B,Q1,5,1.476
2,B,Q1,6,1.416
2,B,Q1,7,1.724
2,B,Q2,1,1270.050
2,B,Q2,2,692.978
2,B,Q2,3,266.977
2,B,Q2,4,359.761
2,B,Q2,5,260.862
2,B,Q2,6,242.627
2,B,Q2,7,250.092
2,B,Q3,1,234.204
2,B,Q3,2,230.073
2,B,Q3,3,236.058
2,B,Q3,4,229.007
2,B,Q3,5,257.280
2,B,Q3,6,243.302
2,B,Q3,7,248.948
2,B,Q4,1,349.592
2,B,Q4,2,486.647
2,B,Q4,3,246.405
2,B,Q4,4,247.379
2,B,Q4,5,243.360
2,B,Q4,6,236.537
2,B,Q4,7,255.170
2,B,Q5,1,3.451
2,B,Q5,2,0.890
2,B,Q5,3,0.995
2,B,Q5,4,0.921
2,B,Q5,5,1.326
2,B,Q5,6,1.253
2,B,Q5,7,1.159
3,A,Q1,1,1069.148
3,A,Q1,2,480.975
3,A,Q1,3,305.329
3,A,Q1,4,244.431
3,A,Q1,5,254.774
3,A,Q1,6,299.986
3,A,Q1,7,304.982
3,A,Q2,1,276.934
3,A,Q2,2,279.048
3,A,Q2,3,235.234
3,A,Q2,4,227.260
3,A,Q2,5,231.067
3,A,Q2,6,245.873
3,A,Q2,7,227.206
3,A,Q3,1,233.184
3,A,Q3,2,224.949
3,A,Q3,3,224.052
3,A,Q3,4,267.670
3,A,Q3,5,222.104
3,A,Q3,6,227.102
3,A,Q3,7,330.716
3,A,Q4,1,398.718
3,A,Q4,2,234.938
3,A,Q4,3,314.706
3,A,Q4,4,229.505
3,A,Q4,5,239.807
3,A,Q4,6,225.666
3,A,Q4,7,227.224
3,A,Q5,1,11.114
3,A,Q5,2,10.593
3,A,Q5,3,12.239
3,A,Q5,4,11.169
3,A,Q5,5,13.079
3,A,Q5,6,9.978
3,A,Q5,7,10.902
4,B,Q1,1,29.005
4,B,Q1,2,1.766
4,B,Q1,3,1.650
4,B,Q1,4,1.690
4,B,Q1,5,1.678
4,B,Q1,6,1.563
4,B,Q1,7,1.723
4,B,Q2,1,2377.339
4,B,Q2,2,133.012
4,B,Q2,3,112.788
4,B,Q2,4,127.790
4,B,Q2,5,129.648
4,B,Q2,6,122.017
4,B,Q2,7,98.605
4,B,Q3,1,1685.725
4,B,Q3,2,556.991
4,B,Q3,3,326.439
4,B,Q3,4,372.254
4,B,Q3,5,465.376
4,B,Q3,6,412.938
4,B,Q3,7,509.807
4,B,Q4,1,422.293
4,B,Q4,2,465.876
4,B,Q4,3,329.207
4,B,Q4,4,334.027
4,B,Q4,5,318.906
4,B,Q4,6,363.246
4,B,Q4,7,414.670
4,B,Q5,1,3.264
4,B,Q5,2,2.236
4,B,Q5,3,2.016
4,B,Q5,4,2.121
4,B,Q5,5,1.022
4,B,Q5,6,0.999
4,B,Q5,7,0.906
